Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,28280,23757,22339,21659,25735,25676,38412,100777
Angola,9,158,353,141,96,130,280,37717
Uganda,2080,841,366,204,3797,5240,6936,17749
India,6278,4157,5125,5479,3118,3087,3784,7067
United Arab Emirates,771,296,747,131,119,84,3768,6476
France,2310,1552,2022,2284,1522,944,4805,6452
South Africa,5284,4212,3730,4495,4245,2007,4260,5039
Netherlands,4250,5557,4780,3947,4437,3589,3113,4804
Belgium,716,606,633,537,398,935,1464,2303
Brazil,251,0,165,77,2386,2145,2226,1907
Eswatini,0,591,194,565,916,1999,880,1732
Italy,226,799,174,153,100,91,604,1392
United States of America,55,26,63,325,1077,1313,841,1229
Spain,1507,856,687,751,1056,855,931,1149
Egypt,641,660,527,272,205,311,872,643
Kenya,694,621,395,506,282,398,694,536
Poland,4,0,17,0,52,35,272,515
"Tanzania, United Republic of",153,80,43,38,187,159,178,488
Tunisia,0,0,0,0,0,207,339,453
Zambia,114,24,21,15,28,28,121,411
Rwanda,91,36,69,14,73,129,274,373
China,268,103,151,164,244,912,338,366
Austria,546,291,411,117,155,51,60,292
Singapore,60,1,0,16,0,0,18,199
Germany,12,15,35,11,29,12,51,177
United Kingdom,82,528,205,10,54,75,60,163
Burundi,15,6,13,16,2,7,15,144
Thailand,459,113,57,117,61,37,123,120
Portugal,581,383,199,175,124,85,139,107
Viet Nam,0,0,0,0,6,0,20,103
Russian Federation,0,55,41,20,0,31,16,82
Pakistan,75,636,818,602,712,444,11,69
Bulgaria,13,0,4,0,17,0,68,67
Saudi Arabia,16,38,0,13,0,0,0,67
Lebanon,205,156,101,110,74,67,29,66
"Korea, Republic of",117,97,65,24,3,0,48,58
Ukraine,0,0,0,0,0,1,0,46
Türkiye,95,87,28,9,9,1,27,40
Mozambique,0,0,0,0,0,0,364,34
Bangladesh,27,0,0,18,26,30,40,31
Australia,25,13,0,0,0,6,107,30
Cyprus,0,0,0,0,26,87,140,22
"Iran, Islamic Republic of",0,0,0,0,0,0,25,18
Zimbabwe,0,17,20,0,0,0,0,14
Chile,0,0,0,0,0,0,2,7
Ethiopia,0,0,0,0,0,0,0,5
"Taipei, Chinese",0,0,2,0,0,0,3,4
Sri Lanka,0,0,0,0,0,0,0,2
Ireland,43,6,29,0,0,0,14,2
Eritrea,0,0,0,0,0,0,0,1
Mexico,1,0,0,3,3,1,2,1
Namibia,0,0,0,0,0,17,31,1
Nigeria,0,0,3,0,0,110,0,1
"Korea, Democratic People's Republic of",15,0,0,11,0,0,0,0
Albania,0,0,0,0,10,0,0,0
Algeria,0,0,0,238,73,0,0,0
Cameroon,1,0,1,0,0,0,0,0
Canada,0,21,0,9,0,0,8,0
Congo,0,0,2,1,1,0,1,0
Cuba,0,2,1,0,0,0,0,0
Denmark,1,0,0,1,1,2,0,0
Gabon,0,0,0,0,0,0,0,0
Ghana,40,0,0,0,0,0,0,0
Guatemala,0,0,22,0,0,0,0,0
"Hong Kong, China",0,0,0,28,0,0,0,0
Iceland,0,5,0,0,0,0,0,0
Indonesia,5,0,1,0,0,0,0,0
Côte d'Ivoire,0,0,0,4,4,3,1,0
Japan,0,4,2,0,0,0,2,0
Jordan,0,0,0,0,0,8,0,0
Lithuania,10,0,0,0,0,0,0,0
Malaysia,92,64,14,3,5,0,0,0
Mauritius,0,20,0,0,0,0,0,0
Slovakia,0,0,0,0,0,1,0,0
Sweden,16,0,0,0,0,0,0,0
Switzerland,2,26,2,4,3,0,4,0
Togo,1,0,0,0,0,0,3,0
Uruguay,20,0,0,0,0,0,0,0
HHI,0.244263837,0.241237495,0.264474838,0.286337936,0.212671941,0.197752222,0.19450107,0.346216212
