Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1238,3057,4059,5410,11721,8810,10999,13120,8378,12875,4917,5126,8145,9133,7336,8636,10327,11439
China,208,238,234,317,1810,674,775,2093,1422,3510,1035,1710,3854,4325,3069,3491,5989,5995
Portugal,355,561,821,1032,1866,1372,1799,3664,3148,2856,936,939,1313,1224,1206,993,1217,1405
South Africa,102,182,352,315,391,116,701,740,494,359,222,136,495,213,128,153,198,1278
United States of America,12,31,1416,1276,1182,2055,2089,1535,850,1967,1071,450,539,652,315,337,348,713
France,35,9,34,157,348,115,171,210,400,666,117,199,107,191,96,155,156,683
United Kingdom,28,1,465,1372,3699,1485,1682,1198,750,1037,346,260,336,144,201,227,243,210
United Arab Emirates,27,61,248,83,198,39,13,74,68,603,59,272,106,55,30,77,203,203
Germany,7,9,0,153,76,147,247,241,129,50,29,57,56,18,52,61,142,172
Belgium,5,826,123,120,223,1374,2606,992,140,229,136,250,31,82,152,104,120,115
Brazil,34,252,29,54,254,328,157,529,145,484,68,95,49,102,60,73,69,104
India,56,60,22,19,5,11,51,84,81,12,6,132,653,537,806,805,320,94
Italy,0,622,23,10,34,18,82,32,132,126,73,47,97,326,788,345,498,75
Spain,2,125,199,14,122,20,138,546,42,56,24,33,18,37,21,23,24,74
Türkiye,0,0,0,0,2,1,15,7,10,2,11,31,232,53,49,984,182,73
"Hong Kong, China",158,0,26,8,1,5,0,6,62,14,24,0,0,0,7,113,1,71
Norway,1,16,0,4,213,231,35,204,52,23,45,202,76,4,4,56,27,34
Singapore,0,0,0,72,37,258,1,76,16,12,3,6,7,12,96,2,20,21
Netherlands,0,5,57,5,34,75,61,96,173,70,45,40,12,826,7,411,355,18
Switzerland,2,0,1,2,14,32,119,570,13,284,396,24,7,28,4,24,27,18
Congo,2,0,0,0,74,288,116,13,0,10,21,11,32,0,75,17,2,17
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48,15
Viet Nam,0,0,0,11,0,0,5,49,36,41,14,5,26,58,28,0,12,14
Namibia,0,0,0,16,418,65,25,34,35,16,3,7,8,3,14,20,2,11
Denmark,0,0,2,74,2,6,1,7,1,39,9,0,1,4,20,38,9,4
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Sweden,0,5,0,0,11,1,12,1,1,1,0,0,1,0,0,26,2,3
"Macedonia, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Mexico,0,0,0,0,0,0,0,0,0,0,0,1,21,17,4,2,7,2
Poland,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,54,2
Thailand,28,0,0,163,269,47,38,1,0,0,1,0,0,0,0,0,17,2
Bermuda,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bulgaria,0,0,0,0,8,0,8,1,4,6,0,8,0,7,23,1,0,1
Canada,0,1,0,36,0,0,0,63,12,3,0,5,5,5,0,0,0,1
"Congo, Democratic Republic of the",0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,1,1
Lebanon,0,0,0,0,14,1,1,2,13,3,1,1,4,9,1,0,0,1
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Egypt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
British Virgin Islands,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0
Equatorial Guinea,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Andorra,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0
Australia,0,0,0,0,14,0,0,2,0,1,1,0,0,0,0,7,8,0
Austria,58,18,0,0,0,1,0,0,0,0,2,2,5,0,0,0,0,0
Bahamas,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Cameroon,0,0,0,0,0,0,4,0,0,0,1,0,0,30,0,1,0,0
Chile,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ecuador,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
Finland,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gabon,2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0
Ghana,0,0,0,1,14,0,1,0,1,42,1,0,0,0,3,2,0,0
Greece,0,0,0,0,0,0,0,0,1,7,34,0,0,3,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ireland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,1,0,0,7,1,11,11,9,32,20,144,2,3,2,1,5,5,0
Japan,0,0,0,1,2,1,3,6,9,2,4,33,10,124,20,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Korea, Republic of",0,0,8,3,63,14,22,7,62,138,28,154,6,25,0,16,0,0
Kuwait,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0
Luxembourg,0,0,0,1,5,0,2,0,2,7,0,0,0,0,2,0,1,0
Malaysia,0,0,0,0,0,0,0,0,0,18,0,0,3,12,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Taipei, Chinese",35,0,0,69,11,1,0,0,0,0,1,0,0,0,0,7,1,0
Morocco,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Nigeria,1,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Russian Federation,53,33,0,0,10,10,1,0,0,0,0,6,17,2,3,33,0,0
Saint Vincent and the Grenadines,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,3,0
Eswatini,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,1,0
Togo,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Uganda,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela, Bolivarian Republic of",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.220354959,0.238730718,0.261379918,0.28646922,0.300366718,0.245608791,0.267078181,0.250053574,0.331201798,0.286256665,0.258299472,0.289523855,0.422347264,0.408989984,0.376790654,0.345960046,0.523004614,0.472024844
