Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,3010,1916,2333,3359,3237,1951,4874,6213
United States of America,847,429,1114,1410,1092,871,830,2407
Germany,1317,719,382,880,1228,55,364,1132
China,137,15,145,61,116,152,958,812
South Africa,251,143,208,616,390,516,742,630
Chile,0,0,0,0,0,0,343,591
India,116,16,51,42,21,48,388,491
Belgium,73,406,311,83,181,196,495,53
Bulgaria,0,0,0,0,0,0,0,32
France,69,59,16,68,38,31,367,28
United Kingdom,46,63,59,79,116,45,182,17
Austria,0,0,0,0,0,0,44,15
Côte d'Ivoire,0,0,0,0,0,0,0,4
Italy,0,0,0,0,0,0,0,1
"Tanzania, United Republic of",0,0,0,0,0,0,0,1
Australia,0,1,0,86,52,0,0,0
Denmark,0,0,0,0,0,11,0,0
"Korea, Republic of",0,3,0,0,0,0,0,0
Lebanon,0,2,5,0,1,0,0,0
Madagascar,1,0,0,0,0,0,0,0
Netherlands,0,0,0,20,0,0,1,0
Poland,0,0,0,2,0,0,0,0
Portugal,0,0,1,2,0,0,0,0
Saudi Arabia,0,0,6,0,0,0,0,0
Senegal,0,0,0,0,0,0,54,0
Spain,108,58,35,0,0,14,0,0
Switzerland,0,1,0,0,0,0,98,0
United Arab Emirates,3,1,0,2,2,11,8,0
Tunisia,29,0,0,0,0,0,0,0
Türkiye,0,0,0,1,0,0,0,0
Egypt,13,0,0,0,0,0,0,0
Zambia,0,0,0,6,0,0,0,0
HHI,0.353500642,0.310090058,0.345726175,0.36682152,0.323694743,0.336271957,0.119047869,0.284156999
