Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,10862,6698,7708,7575,6608,6149,10090,11585
"Korea, Republic of",4203,3183,4702,4334,3522,4265,5512,5481
Japan,3158,1799,1520,1776,1892,600,2015,3117
China,1969,992,1024,896,624,414,1017,1897
South Africa,218,319,233,244,180,407,882,523
Kenya,136,57,46,38,26,139,200,180
Zambia,2,18,3,5,20,65,90,134
India,29,19,1,5,31,54,137,92
"Tanzania, United Republic of",117,34,15,71,71,81,25,65
Malaysia,9,0,0,0,0,0,0,27
Cameroon,2,0,0,89,0,42,53,16
Türkiye,3,1,1,3,1,11,83,12
Belgium,2,2,0,14,10,2,25,11
United Arab Emirates,38,10,2,8,73,27,16,11
Italy,0,0,0,0,1,0,17,5
Uganda,21,108,103,56,85,15,2,5
"Hong Kong, China",274,1,0,0,0,3,0,3
Ghana,9,0,0,0,0,0,0,2
Angola,0,1,0,0,9,14,1,1
Netherlands,0,0,0,0,0,0,0,1
United States of America,0,3,0,0,0,1,0,1
Canada,0,0,0,0,0,0,1,0
France,7,2,0,0,0,0,0,0
Nigeria,16,14,34,13,5,8,1,0
Panama,52,0,0,0,0,0,0,0
Rwanda,1,0,1,0,0,0,0,0
Singapore,503,101,24,24,55,0,13,0
Spain,0,11,0,0,0,0,0,0
Thailand,0,0,0,0,1,0,0,0
Togo,91,23,0,0,0,0,0,0
HHI,0.390290748,0.443775221,0.529987305,0.502039982,0.489592418,0.613775946,0.473232866,0.446898348
