Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,37775,16684,14987,16270,14105,13291,12754,20380
Morocco,14164,6407,5146,7294,6157,5248,3827,5787
Brazil,3774,2971,2598,3136,2933,3493,2463,5592
Thailand,4828,1351,1422,1465,1044,847,987,1401
Indonesia,6006,1181,647,1415,663,403,472,1234
Belgium,582,488,438,321,376,590,1376,1056
United Arab Emirates,120,11,49,63,210,27,370,923
France,2764,2816,2916,847,552,365,496,831
Spain,101,0,351,360,386,231,228,634
China,809,427,125,113,156,228,629,633
Italy,1665,219,661,95,908,236,598,434
India,120,380,159,111,192,317,89,262
Zambia,5,1,0,5,38,18,84,222
Poland,0,0,0,31,51,133,116,220
Türkiye,36,0,1,0,0,9,43,216
South Africa,132,132,200,477,160,599,186,208
Kenya,0,0,0,0,0,35,113,155
Netherlands,63,11,6,2,10,73,187,138
Chile,0,0,131,287,28,192,37,136
"Tanzania, United Republic of",0,0,0,0,0,0,36,62
Lebanon,39,22,16,21,30,54,19,55
Angola,0,13,15,25,9,8,9,44
Russian Federation,1,50,0,0,0,0,1,30
Germany,0,4,25,0,0,1,2,29
"Hong Kong, China",0,0,0,0,0,0,0,25
Uganda,155,172,49,138,58,139,15,22
Greece,0,0,0,0,0,17,10,13
United States of America,102,0,0,0,98,3,8,7
Argentina,0,0,0,0,0,0,0,6
Mauritania,0,0,0,0,0,0,0,3
Croatia,0,0,0,0,0,0,0,2
Austria,1,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,341,0
Ecuador,2019,0,0,0,0,0,0,0
Malaysia,0,0,0,4,0,0,0,0
"Taipei, Chinese",0,0,1,0,0,0,0,0
Namibia,192,0,5,0,0,0,0,0
Pakistan,56,7,0,0,0,0,0,0
Portugal,12,8,0,0,0,0,0,0
Rwanda,8,0,0,11,0,0,0,0
Senegal,0,11,19,0,0,0,0,0
Singapore,21,0,0,0,0,0,0,0
Viet Nam,0,0,5,0,4,7,1,0
Switzerland,1,0,0,0,0,0,0,0
Tunisia,0,0,0,50,6,0,9,0
Ukraine,0,0,0,0,31,0,0,0
Egypt,0,0,0,0,3,0,0,0
United Kingdom,1,1,0,0,0,17,0,0
HHI,0.322708834,0.327360239,0.302268983,0.375599153,0.370960167,0.361219809,0.255537147,0.286785182
