Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1,4,1,1,32,31,0,0,1,1,0,0,5,3,6,4,2,0,21,34
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27
United States of America,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Italy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Rwanda,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Belgium,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Democratic Republic of the",0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
France,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Uganda,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Benin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Guinea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Sweden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
HHI,1,0,1,1,0.895026253,0.274483898,0,0,1,1,0,0,0.053589838,0,0.487310034,0.284959256,0,0,0.150238277,0.600173001
