Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,50054,37970,40083,40214,32739
United States of America,32442,25242,24426,25926,20539
China,4816,3127,2836,3763,4642
Brazil,6430,4638,4924,6062,4251
Panama,252,46,13,43,1131
Dominican Republic,1263,448,231,542,389
Sweden,1610,1793,2928,1358,377
France,658,307,760,336,333
Canada,481,568,454,332,261
"Hong Kong, China",161,933,1898,702,213
"Venezuela, Bolivarian Republic of",0,0,0,0,123
Jamaica,42,131,34,112,99
Indonesia,6,0,1,0,81
Guyana,9,29,4,2,49
Germany,60,2,49,0,43
Belgium,11,4,20,18,41
"Taipei, Chinese",0,74,178,5,33
Malaysia,0,30,0,31,29
Italy,105,36,327,22,23
India,7,21,0,289,17
Honduras,0,12,0,12,13
Spain,11,66,2,6,7
Denmark,0,2,0,0,6
Barbados,0,0,0,8,5
Viet Nam,0,0,124,0,5
Curaçao,6,5,14,4,4
United Arab Emirates,0,394,0,6,4
Bahamas,26,1,0,0,3
Netherlands,4,1,1,20,3
Thailand,0,0,0,7,3
Türkiye,0,0,0,0,3
Eswatini,1,8,0,1,2
Switzerland,0,5,4,75,2
Antigua and Barbuda,0,0,1,0,1
Mexico,0,0,42,4,1
Trinidad and Tobago,0,0,0,2,1
Western Sahara,20,0,0,0,0
Argentina,1014,0,593,415,0
Austria,0,34,0,0,0
"Bolivia, Plurinational State of",0,0,0,47,0
Sri Lanka,0,0,3,0,0
Chile,6,0,1,0,0
Colombia,85,0,5,0,0
Costa Rica,0,0,12,0,0
Cuba,1,0,0,0,0
El Salvador,0,0,0,1,0
Guatemala,69,0,0,0,0
Ireland,22,0,0,0,0
Israel,1,0,0,0,0
Japan,0,1,41,0,0
Jordan,0,0,1,0,0
Kenya,0,0,1,0,0
"Korea, Republic of",46,0,3,0,0
Lao People's Democratic Republic,3,0,0,0,0
Luxembourg,8,2,5,0,0
Aruba,2,1,1,1,0
Nicaragua,23,0,0,0,0
Peru,135,0,0,0,0
Philippines,13,0,0,0,0
Poland,0,0,12,0,0
Tunisia,0,0,2,0,0
Turks and Caicos Islands,0,3,1,0,0
United Kingdom,2,2,1,1,0
Uruguay,204,0,131,59,0
HHI,0.605535357,0.615417278,0.562264887,0.600590634,0.587782153
