Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,20898,31658,38972,81923,69010,36461,37088,50360,57247,54507,45342,80596,76106,46076,64399,55988,80637,87021,58994,79617
Japan,14183,23655,22286,46069,29023,14114,16217,27340,23653,15833,14962,31443,559,18525,25367,26011,35277,32198,22997,34419
China,0,322,510,1161,1481,1381,1073,1966,1858,3316,1532,5725,20786,1787,2861,2869,5988,11739,7386,12329
United Arab Emirates,540,379,1260,4156,2029,1489,1827,3705,6077,4783,4047,2132,683,3998,3523,5158,6877,10655,8297,9785
India,543,702,1678,1502,2110,1918,1952,3089,2274,4705,3733,5304,667,5848,4774,5527,7187,7784,4568,8942
United Kingdom,790,393,666,1539,435,302,1132,1236,1101,829,826,428,64,3437,3340,6150,9824,5794,3792,3255
South Africa,516,510,1626,356,2075,330,927,326,2337,2877,1820,7265,471,900,835,289,1972,1863,1225,2133
Belgium,1089,1306,1375,3734,3111,3505,3388,3549,5543,3750,3109,3793,15069,1230,1690,2064,1878,3491,1743,1215
Germany,0,2529,1560,6706,6217,2489,1443,967,2264,5867,2514,1724,2718,2367,2096,1512,2946,1014,1316,1199
"Korea, Republic of",508,97,458,124,611,2,16,17,74,298,156,246,289,29,176,78,168,476,814,719
Thailand,1274,771,109,174,3672,68,17,296,400,255,98,1997,218,315,125,173,344,819,304,579
Canada,18,2,23,2,16,19,83,104,99,202,160,77,326,94,147,116,234,312,762,548
Kenya,8,57,558,719,1540,458,408,154,181,718,847,699,5,638,277,466,227,349,619,537
France,223,215,3213,284,4483,6237,2386,3834,8051,2467,1706,9905,7812,970,6669,916,1591,755,360,514
United States of America,148,32,29,6481,333,246,24,469,320,1300,1403,999,9472,792,578,299,359,850,1108,414
"Korea, Democratic People's Republic of",0,0,1,1,0,0,4,13,10,0,35,10,3,10,14,17,26,95,378,399
"Tanzania, United Republic of",0,43,557,249,228,351,21,707,194,172,334,146,14,414,563,175,106,102,171,342
Denmark,116,132,329,123,46,168,89,376,189,151,126,526,623,493,1120,362,566,890,829,308
Netherlands,39,40,473,390,510,102,184,48,342,3329,6567,2642,2584,217,5815,1965,822,4372,356,270
Spain,201,0,30,0,3,117,3,6,42,13,28,151,712,233,9,372,204,246,202,254
Uganda,23,31,168,44,364,140,397,690,703,862,610,391,0,385,288,188,148,375,26,152
Türkiye,0,0,0,0,0,3,38,538,503,12,31,39,204,39,6,1,53,457,14,136
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,29,62,0,215,64,30,126
Italy,144,107,712,841,879,327,237,270,83,478,106,1044,669,358,91,38,286,408,71,120
Rwanda,0,1,44,6,8,8,5,6,13,460,62,102,0,1276,109,55,42,171,16,113
Cameroon,0,0,0,0,0,0,0,0,0,29,0,21,82,136,0,0,0,0,41,103
Indonesia,0,0,0,0,0,0,0,12,113,113,114,245,18,71,23,71,112,15,77,102
Mauritius,0,0,0,0,0,4,0,0,0,0,0,0,91,0,0,0,0,0,0,99
Switzerland,9,10,71,253,372,294,127,49,71,26,53,226,606,42,103,72,28,109,70,65
Guinea,0,0,0,0,0,0,0,0,0,166,0,0,6,31,0,0,0,0,26,63
Sweden,1,95,111,209,185,151,0,175,231,109,112,212,6,212,2494,353,240,395,264,59
Australia,0,0,2,0,5,1,21,1,22,35,1,26,0,22,5,23,32,200,103,44
Poland,0,0,0,0,0,0,0,0,0,0,5,0,74,0,27,9,78,67,92,37
Austria,126,8,822,101,0,0,0,34,0,0,1,0,9,0,0,0,0,0,0,34
"Congo, Democratic Republic of the",7,0,4,2,0,6,1,0,92,0,0,0,4,3,14,2,14,87,56,28
Singapore,0,0,0,0,0,0,0,7,0,91,4,0,12,173,0,26,42,98,51,18
Russian Federation,61,2,0,2,0,3,0,0,0,0,0,0,13,0,0,0,48,106,0,15
Togo,0,0,0,0,0,0,0,0,0,0,0,0,2407,0,0,0,0,0,0,15
Czech Republic,0,0,0,0,0,0,0,0,0,841,0,0,15,0,0,0,0,0,5,14
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14
"Taipei, Chinese",0,0,0,0,0,0,0,0,0,0,0,41,51,11,0,21,0,0,0,13
Sierra Leone,0,0,0,0,0,0,0,0,0,23,10,0,19,0,0,0,0,0,0,12
Norway,36,2,39,0,0,3,0,127,0,9,11,35,207,7,9,2,0,8,8,10
Jamaica,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,60,5,8,9
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,5,7
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Burundi,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,5
Ethiopia,0,0,0,7,0,0,0,17,38,10,8,0,0,0,0,0,0,5,0,5
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Hong Kong, China",3,6,1,0,0,40,0,0,6,0,2,0,1,21,1,1,19,30,7,4
Jordan,0,3,0,752,360,0,3,0,4,2,0,649,0,0,0,0,0,0,0,4
Brazil,2,168,44,220,0,975,66,34,3,0,0,668,52,0,0,0,0,0,421,3
Oman,0,0,0,0,87,1,0,0,7,38,142,1,2,0,35,27,25,109,37,3
Nigeria,0,1,1,5,3,1,2,5,5,3,0,0,6018,0,0,0,11,0,0,3
Panama,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,0,4,4,3,3
Andorra,0,0,2,0,5,0,0,0,0,0,0,0,33,0,0,240,0,2,0,1
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,235,0,0,1
Mozambique,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
British Virgin Islands,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,0,27,0,0,0,0,108,0,170,0,0,150,60,0,41,134,254,143,40,0
Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Somalia,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Afghanistan,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Albania,0,5,8,0,0,0,0,11,0,0,5,0,3,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
Bangladesh,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,2,2,2,0,4,5,8,6,0,0,2,9,0,0,0,17,0,0
Cambodia,0,0,0,16,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,12,4,0
Congo,4,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,34,1,0
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,13,23,0,4,0,0,0,8,12,0,25,0
