Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,35,262,117,74,28,15,63,77
United States of America,0,0,5,10,2,6,14,15
Thailand,0,0,0,10,2,0,2,14
Iraq,0,0,2,0,0,0,0,7
Japan,0,0,0,0,0,0,1,5
Nigeria,0,0,0,0,0,0,0,5
"Hong Kong, China",0,0,0,4,0,0,0,4
Zambia,20,255,10,1,9,0,24,4
China,0,0,0,7,4,1,0,3
Germany,0,0,0,2,0,1,0,3
Netherlands,0,0,0,0,1,0,6,3
Bangladesh,0,0,9,0,0,0,3,2
India,0,0,0,0,0,0,0,2
South Africa,0,0,0,1,1,2,1,2
Belgium,0,0,3,7,0,0,0,1
Indonesia,0,0,0,0,0,0,0,1
Côte d'Ivoire,0,0,0,0,0,0,1,1
"Korea, Republic of",0,0,2,0,0,0,1,1
Lebanon,0,0,9,0,0,0,0,1
Malaysia,0,0,2,0,0,0,0,1
Togo,0,0,0,0,0,0,0,1
Afghanistan,0,0,0,3,0,0,0,0
Angola,0,0,0,16,0,0,0,0
Bulgaria,0,0,6,0,0,0,0,0
Croatia,0,2,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,1,0,0,0
Kenya,0,2,0,0,0,0,0,0
Kuwait,0,0,4,2,0,0,0,0
Mali,0,0,0,0,1,0,0,0
Nepal,0,0,10,0,0,0,0,0
Pakistan,0,0,15,2,0,0,0,0
Rwanda,0,0,0,0,0,0,1,0
Saudi Arabia,0,0,27,0,0,0,0,0
Singapore,0,0,1,1,0,0,0,0
Zimbabwe,15,4,4,2,5,3,6,0
Spain,0,0,0,0,1,0,0,0
Sudan,0,0,1,0,0,0,0,0
Türkiye,0,0,4,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0
Ukraine,0,0,1,0,0,0,0,0
Egypt,0,0,3,0,0,0,0,0
Uzbekistan,0,0,2,5,0,0,0,0
HHI,0.024510411,0.94692408,0.132919182,0.106629625,0.144397111,0.052247365,0.235533971,0.121044489
