Importers,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017
World,12886,2047,4693,5814,4925
Dominican Republic,245,168,223,65,2063
United States of America,354,1203,1488,4018,1440
France,52,18,872,258,1061
Colombia,9,2,0,0,97
Mexico,0,25,0,0,81
Ecuador,0,25,0,0,39
Italy,208,27,31,0,33
Trinidad and Tobago,5,0,0,0,24
Spain,3089,26,0,0,17
"Taipei, Chinese",0,0,0,0,14
Argentina,0,0,1974,93,13
Bahamas,0,0,0,0,6
Canada,5,2,1,1,6
Guatemala,0,0,0,0,6
Malaysia,0,0,0,0,5
Antigua and Barbuda,0,0,0,0,4
Guinea-Bissau,0,0,0,0,4
United Kingdom,2,1,0,0,4
Germany,2,1,7,3,2
Ireland,0,0,0,0,2
"Bolivia, Plurinational State of",0,0,0,0,1
China,0,25,0,0,1
Nicaragua,0,0,1,0,1
South Africa,0,0,0,0,1
Barbados,0,0,0,0,0
Belgium,1,25,0,0,0
Brazil,0,57,0,1013,0
Chile,0,50,28,0,0
Cuba,3,26,26,0,0
Denmark,0,0,2,0,0
Greece,0,0,1,0,0
Grenada,0,15,13,0,0
Guinea,2407,0,8,0,0
Guyana,1,0,0,0,0
Honduras,0,24,0,0,0
"Hong Kong, China",0,1,0,0,0
Iceland,3691,0,0,0,0
Indonesia,1,0,0,0,0
Israel,0,0,0,0,0
Jamaica,0,2,6,0,0
Japan,0,25,0,0,0
Kenya,49,0,0,0,0
"Korea, Republic of",0,0,0,0,0
Lebanon,1,0,0,0,0
Liberia,0,0,0,91,0
Netherlands,8,0,0,250,0
Curaçao,0,0,0,0,0
Aruba,0,25,0,0,0
New Zealand,0,0,0,0,0
Niger,3,0,0,0,0
Pakistan,0,0,0,0,0
Panama,14,99,0,6,0
Papua New Guinea,0,0,4,11,0
Paraguay,0,0,0,0,0
Peru,2734,0,0,0,0
Poland,0,0,0,0,0
Senegal,0,0,1,0,0
India,0,0,0,2,0
Viet Nam,0,0,1,0,0
Zimbabwe,0,0,5,0,0
Eswatini,0,0,1,0,0
Switzerland,0,0,0,1,0
Thailand,1,0,2,0,0
United Arab Emirates,0,0,0,0,0
Turks and Caicos Islands,0,74,0,0,0
"Venezuela, Bolivarian Republic of",0,99,0,0,0
HHI,0.330273706,0.50118133,0.438060324,0.606766944,0.441052077
