Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,9,9,8,3,4,11,14
Lebanon,0,0,0,0,0,0,0,8
Benin,0,0,0,0,0,0,0,2
Belgium,0,0,2,1,0,1,3,1
France,0,4,0,2,0,0,0,1
Germany,0,0,0,1,1,0,0,1
"Tanzania, United Republic of",0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,1,0
Angola,0,0,0,0,0,0,0,0
Brazil,0,0,1,0,0,0,0,0
Cameroon,0,0,0,1,0,0,0,0
China,0,0,0,0,0,0,0,0
Ghana,0,1,0,1,0,0,0,0
Israel,0,1,0,0,0,0,0,0
Kenya,0,0,0,1,0,0,0,0
"Korea, Republic of",0,0,0,1,0,0,0,0
Madagascar,0,0,0,0,1,0,0,0
Netherlands,0,0,0,0,0,0,0,0
Romania,0,0,1,0,0,0,0,0
Senegal,0,0,0,0,0,0,1,0
India,0,2,2,0,0,0,0,0
South Africa,0,0,0,0,0,0,1,0
Zimbabwe,0,0,0,0,0,0,4,0
Spain,0,0,1,0,0,0,0,0
Uganda,0,0,0,1,0,0,0,0
United Kingdom,0,0,0,0,0,0,0,0
United States of America,0,1,1,0,0,0,0,0
Burkina Faso,0,0,0,0,1,0,0,0
Zambia,0,0,1,0,0,3,0,0
HHI,0,0.154954198,0.036416466,0.094400229,0,0.284959256,0.061202839,0.279772158
