Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,0,0,0,0,17556,17664,11281,29415,25833,9542,13768,27613
Pakistan,0,0,0,0,14982,16428,10043,19790,16931,3197,5400,9585
"Iran, Islamic Republic of",0,0,0,0,1830,574,897,9101,4627,756,3027,6772
United Arab Emirates,0,0,0,0,0,128,272,107,309,2583,3757,3201
Germany,0,0,0,0,0,0,0,0,0,0,0,2952
China,0,0,0,0,24,11,6,0,247,568,391,2780
Türkiye,0,0,0,0,13,109,0,64,14,242,210,455
Poland,0,0,0,0,0,0,0,0,0,0,0,341
Malaysia,0,0,0,0,0,0,0,0,0,0,0,295
United States of America,0,0,0,0,18,8,0,0,13,4,127,239
Netherlands,0,0,0,0,0,0,0,0,0,0,0,145
Singapore,0,0,0,0,0,0,0,0,0,0,67,130
Brazil,0,0,0,0,0,0,0,0,0,72,46,125
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,88
India,0,0,0,0,1,0,0,0,307,515,110,86
France,0,0,0,0,0,0,0,0,1,32,100,72
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,64
Egypt,0,0,0,0,0,0,0,0,0,0,0,61
Italy,0,0,0,0,15,0,5,0,0,0,28,44
Thailand,0,0,0,0,0,0,7,0,2,376,209,42
Uzbekistan,0,0,0,0,1,336,50,242,324,767,138,40
Belgium,0,0,0,0,0,0,0,0,0,0,0,38
Denmark,0,0,0,0,0,0,0,0,0,0,0,20
Kazakhstan,0,0,0,0,0,57,0,0,1770,0,0,18
Saudi Arabia,0,0,0,0,0,0,0,0,233,0,0,8
Tajikistan,0,0,0,0,672,0,1,23,101,13,0,5
Bangladesh,0,0,0,0,0,0,0,0,0,29,21,4
Marshall Islands,0,0,0,0,0,11,0,0,0,0,0,0
Sri Lanka,0,0,0,0,0,0,0,0,21,0,0,0
Finland,0,0,0,0,0,0,0,0,0,9,8,0
Guatemala,0,0,0,0,0,0,0,0,0,275,0,0
Indonesia,0,0,0,0,0,0,0,0,63,0,0,0
Japan,0,0,0,0,0,0,0,0,0,1,0,0
Jordan,0,0,0,0,0,0,0,0,0,15,0,0
Kenya,0,0,0,0,0,0,0,0,753,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,86,113,0
Aruba,0,0,0,0,0,0,0,0,0,0,15,0
Russian Federation,0,0,0,0,0,0,0,88,0,1,0,0
Viet Nam,0,0,0,0,0,0,0,0,115,0,1,0
HHI,0,0,0,0,0.790870259,0.896265803,0.836240886,0.58295617,0.582797213,0.294016398,0.381857082,0.334676155
