Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,3813,6442,4719,5585,7295,4659,3759,4364
South Africa,1933,1859,973,1004,2798,1848,1041,1818
Ukraine,0,0,0,0,0,0,0,526
France,13,163,236,33,755,25,87,370
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,369
Gabon,3,1,9,10,4,175,181,254
Rwanda,3,108,20,2853,443,1,10,175
Zambia,85,269,463,138,115,29,55,155
Angola,0,142,29,57,10,5,454,91
China,69,56,118,2,132,56,3,75
United Arab Emirates,7,36,73,44,152,31,551,62
Belgium,70,80,71,154,24,25,50,61
"Tanzania, United Republic of",0,2,22,10,466,6,274,57
Kenya,299,11,7,183,32,8,45,54
Switzerland,0,0,430,19,136,100,41,45
Hungary,0,0,0,0,0,0,0,43
Congo,0,0,35,130,23,15,192,29
Eswatini,0,0,0,0,0,0,0,28
Zimbabwe,0,0,0,7,0,1,20,27
Germany,53,33,70,25,15,36,23,16
Sierra Leone,0,0,0,0,0,1,1,10
Netherlands,64,50,15,12,5,5,0,9
Togo,1,17,0,2,2,4,0,8
Uganda,59,379,561,360,179,18,18,8
Benin,0,1,4,62,3,0,3,7
Niger,0,0,0,0,1,130,0,7
Ethiopia,0,0,0,0,3,0,33,6
Italy,0,0,2,31,259,7,2,6
Burundi,1,0,2,61,19,72,1,5
Lebanon,1,0,0,1,0,2,0,5
Nigeria,0,1,258,0,0,0,0,5
Central African Republic,0,93,0,23,1,0,36,4
United Kingdom,6,8,11,5,2,1,4,4
United States of America,3,43,116,13,486,0,0,4
Israel,0,3,1,15,0,1,0,3
Senegal,0,0,2,4,1,1,0,3
Cameroon,8,342,1,27,0,0,21,2
Haiti,0,0,0,0,0,0,0,2
Côte d'Ivoire,1,504,60,0,1,4,3,2
Morocco,0,0,0,80,526,1867,0,2
Sudan,1,6,0,2,0,0,0,2
Burkina Faso,1,0,4,0,7,0,3,2
Chad,0,0,1,0,0,16,0,1
Gambia,0,0,0,0,0,0,0,1
Philippines,0,0,0,0,1,0,1,1
India,0,1,640,6,13,0,2,1
Canada,30,28,3,1,35,19,13,0
Greece,0,0,0,0,1,0,0,0
Malaysia,0,0,0,0,6,0,0,0
Portugal,0,1,0,0,10,13,1,0
Algeria,0,0,0,0,0,1,0,0
Australia,0,0,48,50,12,0,5,0
Bahamas,0,0,1,0,0,0,0,0
Bangladesh,141,1833,0,0,0,0,40,0
Botswana,0,0,31,0,0,62,1,0
Brazil,0,0,0,0,0,0,0,0
Myanmar,0,0,0,1,0,0,0,0
Costa Rica,0,0,0,1,0,0,0,0
Denmark,3,8,0,1,2,0,0,0
Finland,0,0,0,0,22,0,0,0
Djibouti,0,1,0,0,1,0,0,0
Ghana,3,2,245,4,4,37,10,0
Guinea,0,0,1,6,5,0,0,0
Honduras,0,0,0,0,1,0,0,0
"Hong Kong, China",63,24,25,4,6,0,0,0
Indonesia,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0
"Korea, Republic of",0,1,18,5,0,2,1,0
Lesotho,0,0,0,0,0,0,0,0
Liberia,0,17,0,0,0,0,16,0
Luxembourg,0,0,0,0,144,0,0,0
Madagascar,0,0,4,0,0,0,1,0
Malawi,15,17,0,0,3,0,60,0
Mali,55,0,9,1,0,0,2,0
Mauritania,0,0,0,4,0,0,2,0
Mauritius,0,0,0,1,0,0,0,0
Mozambique,0,0,43,4,0,0,1,0
Namibia,177,0,2,1,0,1,0,0
Norway,20,18,3,0,0,0,0,0
Pakistan,71,11,0,0,18,26,0,0
Papua New Guinea,0,0,0,27,0,0,0,0
Poland,0,0,0,0,0,0,0,0
Guinea-Bissau,0,1,0,0,0,0,0,0
Romania,0,0,2,0,0,0,0,0
Russian Federation,0,0,0,0,2,1,0,0
Saint Kitts and Nevis,0,81,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,1,0,0
Seychelles,0,0,0,93,0,0,0,0
Slovakia,0,8,0,0,0,0,0,0
Viet Nam,0,1,0,0,0,0,0,0
Spain,0,0,0,7,11,2,0,0
Sweden,0,0,0,0,358,0,102,0
Thailand,0,0,0,0,0,2,1,0
Tunisia,0,0,0,0,0,0,9,0
Türkiye,0,180,0,0,1,0,0,0
Egypt,555,1,0,0,35,0,21,0
Uruguay,0,0,45,0,0,0,313,0
HHI,0.44019601,0.322612826,0.201774944,0.473106753,0.332398563,0.486867748,0.254194507,0.363987568
