Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Total,458,2966,5176,7269,6602,13446,8052,1724,779,1177,333,977,598,1878,1349,354,599,486,195,206
France,0,0,0,0,0,0,0,0,279,146,216,256,184,187,191,93,245,113,73,76
United States of America,424,2884,5068,7183,6533,13397,7930,1548,495,96,68,115,321,1634,1015,169,242,94,61,76
Germany,0,0,0,0,0,7,103,127,0,11,0,424,3,3,3,3,15,28,0,18
United Kingdom,17,18,14,48,45,20,0,0,2,1,0,0,2,3,2,0,0,3,15,10
Pakistan,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,9,1,0,7
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,17,13,6
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
South Africa,0,0,0,2,1,0,0,0,0,17,10,0,0,0,0,0,0,0,0,5
Mexico,0,0,0,1,0,1,0,0,0,1,1,0,1,1,11,56,33,3,3,1
Spain,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,3,1
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,63,0,22,0,0,8,0,14,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Angola,0,0,0,0,15,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
Mali,9,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,870,0,0,0,0,112,0,0,0,0,0
"Bolivia, Plurinational State of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,4,0,0,0,2,0,0,0,23,14,18,0,0,0,1,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong, China",1,1,1,1,0,1,2,1,0,0,0,0,16,0,4,0,0,0,0,0
Ireland,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
Italy,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0
Côte d'Ivoire,2,5,31,18,6,10,10,0,0,14,0,22,0,0,0,0,0,0,0,0
Japan,0,0,0,0,2,0,0,0,0,15,15,35,25,0,0,11,36,0,12,0
Jordan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
Madagascar,0,0,0,7,0,0,0,1,0,0,4,0,25,0,8,0,0,0,0,0
Malaysia,3,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Taipei, Chinese",1,0,0,1,0,2,1,0,0,0,1,1,3,4,0,0,2,1,1,0
Namibia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0
India,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Viet Nam,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Ukraine,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,8,34,0,0,0,4,7,1,2,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gabon,0,43,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0
Sudan (before 2012),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.886699879,0.955771772,0.967810945,0.983403995,0.982383118,0.994785003,0.97669184,0.858334525,0.542749513,0.654635592,0.525771716,0.323350856,0.477785524,0.825525836,0.670976595,0.39412354,0.411813565,0.361489633,0.261616158,0.31923221
