Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,14,22,42,66,49,121,82,164,159,41,70,35,26,16,25,2,1,6
Brazil,0,4,0,0,1,0,0,0,1,5,21,0,0,0,0,0,0,2
China,2,10,9,40,2,21,18,26,4,6,3,1,0,1,0,1,0,1
Namibia,0,0,0,0,5,0,4,5,12,1,0,1,0,0,0,0,0,1
Portugal,2,1,3,20,18,78,47,116,46,23,11,22,8,5,22,1,1,1
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Algeria,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,2,0,0,0,1,0,0,0,0,0,7,0,0,0,0
Canada,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
France,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0
Italy,0,0,2,0,0,0,0,0,0,0,7,2,0,2,0,0,0,0
Japan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Malta,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Norway,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,21,0,10,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
South Africa,2,5,17,0,8,10,1,1,85,0,0,9,4,0,2,0,0,0
Spain,1,0,0,0,0,2,1,0,0,0,3,0,0,1,1,0,0,0
United Arab Emirates,3,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,6,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0
United States of America,4,0,3,3,6,1,10,3,8,2,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HHI,0.05418995,0.184548256,0.185175739,0.42104909,0.217731171,0.477537613,0.402565143,0.592174281,0.381482646,0.397647133,0.179323529,0.46485864,0.076923077,0.260669648,0.72680398,0,1,0.043761795
