Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,2,39544,59,124,315,1456,201,221,62,43,1208,1697,2604,4203,2014,1404,2521,1204
Cameroon,0,5965,35,106,147,241,0,143,26,32,32,57,90,148,555,925,1781,895
China,0,959,13,7,0,1212,0,11,0,1,619,1052,699,2328,396,409,142,191
Turks and Caicos Islands,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,73
France,0,5190,11,4,147,1,53,36,5,5,0,1,270,94,95,66,5,19
Lebanon,2,0,0,4,20,0,0,0,0,0,46,0,0,0,0,0,0,14
Belgium,0,1375,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,11
Spain,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gibraltar,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Congo,0,0,0,0,0,0,0,0,0,4,0,0,69,0,58,0,0,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,962,0,0,0,58,0
Dominican Republic,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,10654,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0
"Hong Kong, China",0,4445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,1439,0,0,0,0,0,0,0,0,1,0,0,0,640,0,207,0
Japan,0,282,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0
"Korea, Republic of",0,7,0,0,0,0,19,0,0,0,0,0,0,1503,0,0,0,0
Kuwait,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,54,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,31,31,0,0,0,0,4,3,0,0,0
Portugal,0,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0
Senegal,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,11,0,0,0,0,0,0,0,0,0,0,9,53,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
South Africa,0,235,0,0,0,2,0,0,0,0,0,0,0,0,0,0,324,0
Sweden,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,3049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,5,0,0,0,5,4,14,0,78,4,0,0
Türkiye,0,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0
United Kingdom,0,353,0,0,0,0,0,0,0,0,0,0,484,22,0,0,0,0
United States of America,0,207,0,3,0,0,18,0,0,0,0,0,0,50,34,0,0,0
HHI,1,0.235917514,0.194869663,0.743581784,0.202681196,0.726325247,0.148101776,0.367294735,0.189736826,0.518588625,0.430421231,0.474565214,0.277160949,0.475385486,0.23296396,0.496912541,0.558386074,0.618696644
