Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,54963,37926,38027,49423,32079,36301,71842,116235
China,16610,16619,12902,15130,9375,15343,39495,74912
South Africa,14071,5380,8035,7461,4451,4022,4327,11690
India,3986,3666,2944,2997,3809,3024,5354,6696
"Korea, Republic of",1086,1111,1960,4525,1404,1520,2334,3215
Brazil,220,393,878,1438,1188,1720,3363,3166
Belgium,1654,1696,1835,1756,845,937,2394,2852
Germany,2316,1130,1956,3722,2753,2221,3562,2596
Malaysia,1966,1540,1942,1518,1765,1260,1902,2373
Spain,852,354,484,1484,845,641,1328,1619
Indonesia,1798,860,484,1004,787,1088,932,1355
France,421,288,267,335,518,330,449,737
United States of America,2175,439,228,106,156,212,605,737
United Arab Emirates,80,84,51,241,125,508,985,606
Thailand,2091,959,1281,2208,601,349,512,564
Netherlands,429,276,227,387,353,372,355,445
Saudi Arabia,71,3,211,1261,1087,721,576,405
Türkiye,41,11,2,24,32,48,26,399
Italy,225,316,204,507,243,310,440,338
Zambia,924,511,326,264,142,127,285,195
Greece,334,263,164,222,229,95,114,180
Denmark,0,14,239,191,44,406,298,171
Peru,0,0,0,0,0,0,264,170
"Korea, Democratic People's Republic of",57,8,106,7,0,30,124,97
Canada,11,1,0,36,0,5,0,85
Mexico,171,0,2,9,0,0,0,74
Angola,0,0,2,0,29,11,39,58
Pakistan,0,0,0,0,0,24,66,51
United Kingdom,947,287,64,19,13,18,7,49
Japan,217,357,49,69,85,10,47,45
Oman,0,1,0,81,0,0,0,45
Singapore,169,34,4,0,51,124,227,43
Kenya,34,11,7,14,6,22,28,42
Viet Nam,0,0,1,98,0,0,0,38
Croatia,0,0,0,0,0,0,0,30
Uganda,25,129,166,102,75,47,11,29
Australia,91,9,0,30,0,0,102,26
"Hong Kong, China",0,29,0,1,31,16,9,23
Eswatini,0,0,10,17,121,28,42,17
"Tanzania, United Republic of",275,8,70,134,148,25,52,14
Ireland,160,83,5,25,0,0,0,13
Lebanon,10,59,6,26,7,32,16,13
Morocco,0,20,27,40,21,0,15,13
Estonia,0,0,0,18,0,0,0,5
"Iran, Islamic Republic of",0,0,1,0,0,0,0,4
Congo,0,0,0,0,0,0,17,1
Tunisia,1,1,0,0,29,4,0,1
Albania,16,0,0,0,0,0,0,0
Argentina,0,19,28,58,18,7,0,0
Austria,0,0,0,0,1,0,0,0
Botswana,87,0,0,0,0,0,0,0
Bulgaria,19,0,0,0,0,0,0,0
Cameroon,0,0,0,0,20,0,0,0
Czech Republic,8,0,18,0,0,0,0,0
Finland,1,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,1,0,0
Gambia,0,10,0,0,0,0,0,0
Hungary,244,295,366,1336,181,403,843,0
Israel,2,0,0,0,0,0,7,0
Côte d'Ivoire,0,2,3,9,9,3,0,0
Luxembourg,0,1,0,0,0,0,0,0
Malawi,0,0,2,0,7,0,0,0
Mauritius,0,0,0,0,0,0,53,0
"Taipei, Chinese",650,479,335,358,162,33,75,0
Mozambique,0,0,0,0,98,27,0,0
Nigeria,0,0,0,10,0,0,0,0
Philippines,0,17,0,0,0,0,0,0
Poland,0,18,12,15,28,0,0,0
Portugal,2,0,0,0,0,0,0,0
Qatar,0,11,0,5,0,0,0,0
Russian Federation,1,125,23,41,132,177,106,0
Rwanda,1,0,0,0,0,1,8,0
Seychelles,0,0,10,0,0,0,0,0
Sweden,0,0,0,39,0,0,0,0
Switzerland,412,1,89,47,48,2,14,0
Togo,0,0,0,0,0,0,30,0
Ukraine,0,1,0,1,1,0,0,0
Egypt,0,0,0,0,0,0,2,0
HHI,0.312006861,0.390785802,0.322634429,0.273533331,0.259187372,0.362049031,0.490693302,0.598300479
