Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,0,0,1,8,1,0,2,3,7,3,0,3,9,6,16,132,161,286,2,7
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
China,0,0,0,0,0,0,0,3,0,0,0,1,9,5,1,30,123,41,2,2
France,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,2,0,1
Côte d'Ivoire,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,98,25,241,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,2,0,0,0
Spain,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0
United Kingdom,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
HHI,0,0,1,0.074300818,1,0,0,1,0.552622199,0.130590976,0,0.130590976,1,0.487310034,0.509698997,0.595962784,0.630588364,0.709643622,1,0.10656667
