Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1535,1184,855,936,931,1418,1922,2451
China,936,881,567,530,629,1141,1223,1618
Angola,1,7,3,0,0,0,1,206
United Arab Emirates,108,53,58,72,66,95,152,156
France,91,26,19,9,21,38,171,145
Switzerland,1,0,0,0,15,0,25,62
Belgium,17,30,34,152,88,20,15,59
Portugal,0,0,0,0,1,0,0,54
India,26,45,19,8,15,55,51,36
Zambia,7,3,9,13,11,10,13,27
South Africa,169,12,70,41,17,31,42,24
"Tanzania, United Republic of",18,52,4,12,5,5,9,16
"Hong Kong, China",0,4,6,1,0,3,16,15
Malaysia,34,0,0,19,0,0,0,10
Morocco,13,0,0,7,7,4,3,3
Türkiye,1,0,0,3,4,0,1,3
United States of America,16,3,10,45,24,1,1,3
Canada,0,0,7,0,4,0,143,2
Germany,35,22,3,9,7,1,3,2
Rwanda,0,0,1,1,0,0,2,2
Bangladesh,0,0,0,1,0,0,3,1
Kenya,3,1,0,0,1,0,2,1
Lebanon,0,1,0,1,0,4,0,1
Nigeria,0,0,0,1,0,0,0,1
Singapore,1,1,1,0,2,0,0,1
Tunisia,0,0,0,0,0,0,0,1
Uganda,0,2,1,4,1,0,0,1
Australia,0,2,7,1,6,0,14,0
Austria,1,0,0,0,0,0,0,0
Brazil,0,0,0,0,1,0,0,0
Bulgaria,0,0,0,0,0,1,0,0
Congo,1,0,0,0,0,0,0,0
Denmark,0,0,0,0,0,7,0,0
Finland,0,1,0,0,0,0,0,0
Guinea,0,0,0,1,0,0,0,0
Indonesia,3,0,0,0,0,0,0,0
Italy,14,6,20,0,1,0,12,0
Japan,1,0,0,0,0,0,0,0
"Korea, Republic of",0,1,3,0,1,0,1,0
Mali,0,0,0,0,0,0,1,0
"Taipei, Chinese",5,0,0,0,2,0,5,0
Netherlands,0,0,0,1,0,0,0,0
New Zealand,0,0,0,2,0,0,0,0
Spain,0,17,0,0,1,0,0,0
Suriname,0,3,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,9,0
Thailand,17,0,1,0,0,0,0,0
United Kingdom,7,13,13,1,0,1,6,0
Uruguay,8,0,0,0,0,0,0,0
HHI,0.537303989,0.682910558,0.583620224,0.495597949,0.60750262,0.745732579,0.568236105,0.592957693
