Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,345,222,726,0,0,0,0,0,0,0,7064,7148,5681,5445,2671,1480,3317,1928
"Congo, Democratic Republic of the",14,0,1,0,0,0,0,0,0,0,678,3788,2759,2892,2040,847,1215,982
Congo,0,0,21,0,0,0,0,0,0,0,230,227,9,154,0,7,49,358
United States of America,15,60,144,0,0,0,0,0,0,0,1848,1089,55,157,24,121,105,123
Portugal,3,0,210,0,0,0,0,0,0,0,60,231,71,165,50,63,72,70
South Africa,42,14,11,0,0,0,0,0,0,0,18,32,13,43,47,62,15,59
Zambia,0,36,0,0,0,0,0,0,0,0,5,2,3,22,9,0,10,57
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,1,0,161,2,10,0,36
Cuba,0,0,0,0,0,0,0,0,0,0,9,12,28,31,26,42,63,35
Mauritania,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,26
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,34,110,42,88,14,4,73,22
Brazil,0,2,2,0,0,0,0,0,0,0,20,38,14,18,14,36,9,17
Viet Nam,0,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,0,16
Spain,0,0,0,0,0,0,0,0,0,0,121,4,2,5,3,54,2,16
France,36,59,27,0,0,0,0,0,0,0,75,47,43,3,24,15,25,13
Netherlands,4,0,17,0,0,0,0,0,0,0,5,151,839,29,1,8,3,11
Belgium,5,11,38,0,0,0,0,0,0,0,1179,312,390,10,3,6,5,8
Côte d'Ivoire,6,11,0,0,0,0,0,0,0,0,0,2,0,3,2,0,21,7
Namibia,0,1,0,0,0,0,0,0,0,0,82,417,62,542,26,30,751,6
United Kingdom,5,0,22,0,0,0,0,0,0,0,352,75,259,26,13,66,22,6
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
Cameroon,0,0,0,0,0,0,0,0,0,0,28,9,0,0,0,2,2,4
Mozambique,0,0,0,0,0,0,0,0,0,0,9,6,4,10,7,8,12,4
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,88,25,8,599,37,0,9,4
