Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,18573,25561,27478,28039,55770,48668,64928,86813,89317,71512,19394,18302,25659,63185,301715,183360,152962,242107
United Kingdom,135,782,996,834,1212,1068,12279,12028,11080,1603,1996,3038,3229,6304,116068,65953,104175,187471
Portugal,11434,9501,11662,18147,26535,24497,31821,49900,59629,46320,10529,5975,7780,31542,132023,28885,15540,31929
Germany,185,7,1474,118,801,453,499,282,196,180,106,194,184,67,256,241,101,5190
United Arab Emirates,45,482,729,42,602,491,245,437,361,352,376,1548,7370,2237,2468,835,41,4110
China,67,0,335,570,713,1139,695,1331,1172,3396,685,672,876,1282,1074,1687,321,3188
Russian Federation,81,0,68,2,0,754,1,5,2,0,7,7,417,3007,12678,10373,6488,2098
South Africa,2465,2001,2012,2432,7791,7581,10650,5481,4289,8172,1075,1880,1633,14018,15169,41317,1544,1909
India,9,155,946,81,247,81,171,280,540,114,443,596,73,365,1395,1728,1262,1289
Brazil,1412,2242,3283,1789,3433,2092,2733,4987,2196,4461,1102,674,574,991,2026,502,414,1176
Malta,0,0,0,0,3,0,3,2,0,0,0,0,0,2,0,1039,139,649
"Korea, Republic of",0,0,1,139,304,221,274,553,318,163,38,227,115,183,87,344,150,595
France,883,1099,1264,503,424,592,985,702,894,816,191,306,215,274,820,27112,4655,453
Lebanon,127,0,0,17,132,65,18,78,62,62,3,39,16,11,144,21,134,411
Spain,82,156,737,137,153,248,231,598,2394,205,95,54,41,535,112,17,1370,364
United States of America,421,172,2338,910,9112,6315,2119,5123,1480,1049,599,685,496,421,15138,2216,4416,325
Netherlands,15,3161,315,167,532,513,252,393,397,359,232,446,270,263,255,127,242,244
Mozambique,85,13,232,71,70,1018,750,2620,453,923,709,639,393,668,828,549,289,199
Switzerland,6,5,47,57,192,129,142,213,79,90,120,108,274,8,8,8,11,78
Israel,9,36,0,1,30,47,90,58,35,141,147,19,48,5,23,1,4,59
Mexico,9,0,0,1,0,0,0,0,7,0,0,21,12,7,8,0,2,55
Namibia,5,0,0,6,1381,47,61,183,98,665,49,5,2,19,29,5,49,37
Sweden,149,0,1,28,162,43,22,25,26,18,1,7,8,12,24,9,9,36
Belgium,2,839,40,110,369,102,95,426,266,150,348,66,210,251,154,123,45,34
Denmark,94,0,1,26,23,156,66,36,44,44,67,7,28,33,14,41,19,28
Canada,636,553,23,12,148,32,12,47,28,67,9,2,602,2,8,60,6,26
Türkiye,7,0,19,9,2,2,9,33,80,83,92,1,6,3,3,36,43,23
Italy,0,99,338,38,118,57,228,206,334,297,196,14,147,289,31,31,67,16
Nigeria,12,0,4,14,10,5,1,5,3,2,0,1,1,3,9,9,18,11
"Hong Kong, China",0,1277,0,40,21,44,24,17,93,289,6,369,327,6,4,2,4,10
Japan,50,235,28,53,305,103,39,110,34,16,11,21,11,11,41,7,127,9
Mauritania,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Ecuador,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6
Norway,6,0,1,47,46,54,83,39,193,170,23,10,8,7,9,6,6,6
Qatar,0,0,0,0,0,2,2,0,1,0,0,2,1,0,5,0,3,6
Congo,28,183,0,7,72,191,99,15,18,4,2,6,0,0,8,2,0,5
Greece,0,0,0,85,0,0,2,19,15,1,4,10,4,0,2,3,2,5
Morocco,0,35,0,0,0,2,0,0,1,5,1,2,5,1,3,2,2,5
Viet Nam,0,1681,0,0,21,0,2,3,7,9,3,3,14,29,5,3,3,5
Malaysia,0,1,0,625,0,4,1,1,9,51,10,9,5,8,6,6,3,4
Singapore,56,118,83,8,14,15,25,53,73,81,21,30,37,210,41,10,21,4
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Poland,0,0,0,0,5,2,0,72,3,12,14,4,1,0,3,14,9,3
"Congo, Democratic Republic of the",0,0,189,5,5,0,0,0,0,0,1,0,0,0,0,0,1,2
Egypt,0,0,0,1,10,17,9,5,8,4,0,0,6,0,2,0,0,2
Austria,5,493,0,1,4,1,6,23,5,15,2,1,3,1,0,0,0,1
Cameroon,0,0,0,0,0,1,3,2,2,1,6,2,0,0,0,0,0,1
Sri Lanka,0,0,219,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Cyprus,0,0,0,0,5,3,2,1,4,14,0,0,0,14,0,0,5,1
Ethiopia,0,0,3,12,2,2,0,0,2,0,2,0,1,4,1,0,59,1
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gabon,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Iceland,0,0,0,89,0,0,51,0,0,8,0,0,0,0,1,1,0,1
Ireland,0,8,0,1,1,0,0,1,6,4,7,0,10,0,0,1,82,1
Jamaica,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,1
Kazakhstan,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1
Panama,0,0,0,0,143,0,0,0,0,1,0,0,5,0,0,0,0,1
Romania,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
Saudi Arabia,30,0,0,135,31,42,16,9,1,1,0,4,0,1,137,0,0,1
Senegal,8,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,1
Thailand,0,0,10,9,29,17,20,6,10,4,1,0,0,1,0,5,2,1
Ukraine,0,0,0,0,1,0,0,0,44,3,0,0,0,0,1,0,0,1
Ghana,0,0,0,0,0,0,0,4,2,1,4,0,0,0,0,0,6,0
Côte d'Ivoire,0,1,0,11,0,0,2,3,0,0,0,1,0,4,1,0,1,0
Zambia,0,0,0,0,1,0,1,0,2,1,0,0,0,0,2,1,0,0
British Virgin Islands,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,4,31,22,0,1,0,0,0,0,0,0,0,1,0,0
Gibraltar,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0
