Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
Total,19,4,462,460,62,17,9,16,4,93,54,53,68,27,12,11,8,21,27,41
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,19
Ireland,16,0,456,430,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
Canada,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,2,1,0,2,5
France,0,0,0,0,0,0,0,0,3,28,41,37,59,3,3,0,6,7,4,3
China,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1
Dominican Republic,0,0,0,0,0,1,0,1,0,4,0,0,0,7,2,1,0,1,0,1
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mali,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,7,0
Qatar,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
Chile,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Czech Republic,0,0,2,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,4,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,0,0,0,3,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Italy,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Lebanon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Netherlands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,8,0,0,2,0,3,0,0,5,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Spain,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Serbia and Montenegro,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Algeria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Venezuela, Bolivarian Republic of",0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
Mayotte,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.694050204,0.082863336,0.976549207,0.899927149,0.841254606,0.14297064,0.317302886,0.47015119,0.284959256,0.395426716,0.6079713,0.523822872,0.780333094,0.074671135,0.055277004,0.078237483,0.457119613,0.171057705,0.118387679,0.306710328
