Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,64826,89564,128905,166196,146496,139869,116246,139211,223437,70162,42539,11979
"Iran, Islamic Republic of",23552,21121,40152,50712,56460,43590,56864,44208,47354,23544,18765,5000
Pakistan,22946,44850,41244,64703,36148,40842,30850,35639,92287,18199,12054,3729
Kazakhstan,1687,1949,3827,12050,459,2472,5121,10233,10950,5893,1986,606
Türkiye,4617,2345,6141,8642,11207,26602,6300,3056,5849,2632,1364,508
China,2685,1643,7766,5810,2006,2844,3038,3612,5634,2776,1889,498
Netherlands,14,632,1395,9,8,5,156,2136,157,1286,1775,212
United States of America,1100,718,413,702,118,422,168,1171,580,134,320,177
Turkmenistan,241,648,2086,2939,2568,3289,3158,956,909,2039,232,175
India,633,3666,6130,1108,742,689,846,679,11920,1695,138,155
Ukraine,448,787,1132,1247,796,247,647,1213,1111,873,703,128
United Arab Emirates,1497,903,1556,3699,20638,11015,1637,3022,20913,560,328,114
Poland,32,111,148,0,648,718,184,221,187,235,277,112
Malaysia,48,35,15,530,74,64,488,22589,418,418,284,102
Denmark,0,8,30,235,758,14,58,116,88,79,109,83
Russian Federation,338,536,373,561,2,267,1010,828,133,90,115,77
Viet Nam,113,66,61,705,235,302,173,224,482,1076,639,69
Indonesia,96,10,317,296,30,236,327,175,229,291,216,52
Uzbekistan,226,1025,10364,3927,3822,1382,2305,1576,5657,1192,302,43
Germany,306,147,99,1030,2434,66,113,1381,122,2885,65,39
Tajikistan,201,753,1567,1544,491,2115,1931,354,2048,3557,251,36
Jordan,0,0,0,0,40,0,22,4,0,0,0,24
Italy,42,123,246,485,276,179,160,634,15,26,28,11
Thailand,15,150,457,156,696,1490,79,68,26,64,201,10
United Kingdom,0,19,24,22,30,4,7,0,5,0,5,7
Aruba,0,0,0,0,0,0,0,0,0,0,7,4
Spain,0,0,34,72,152,208,56,323,163,0,1,3
Belgium,0,0,89,34,22,12,21,0,22,0,17,1
France,23,4,4,21,0,0,0,44,134,122,267,1
Portugal,0,0,0,0,0,0,0,0,0,0,0,1
"Korea, Democratic People's Republic of",60,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,0,0,0,0,0,37,0,2783,0,0,0,0
Tokelau,0,0,0,0,0,0,0,0,0,0,1,0
Azerbaijan,0,21,0,0,0,0,0,16,0,0,0,0
Argentina,121,0,0,4,50,0,16,0,0,0,0,0
Australia,0,49,15,28,35,30,0,55,0,34,2,0
Austria,0,21,7,0,0,0,0,47,0,3,0,0
Bangladesh,0,0,0,0,0,0,0,87,5,2,48,0
Brazil,29,73,89,378,4073,0,0,59,2329,0,4,0
Bulgaria,0,0,0,0,0,0,0,0,19,6,0,0
Cameroon,0,0,0,0,0,4,0,0,0,0,0,0
Canada,21,0,63,140,1,0,0,0,19,92,0,0
Sri Lanka,0,0,0,10,0,0,0,11,31,0,0,0
Finland,0,0,80,0,0,0,0,0,0,2,0,0
Guatemala,226,10,11,0,373,325,0,0,0,0,0,0
"Hong Kong, China",0,0,1,0,0,0,28,0,0,0,3,0
Iceland,0,0,0,0,0,0,0,0,1,0,0,0
Iraq,0,0,10,44,144,0,0,0,0,0,0,0
Ireland,32,36,16,270,39,0,66,140,46,0,0,0
Japan,1560,37,575,1181,8,44,0,631,10561,0,2,0
Kenya,0,0,0,825,0,1,60,0,0,0,0,0
"Korea, Republic of",0,37,209,287,13,0,0,0,753,34,76,0
Kyrgyzstan,24,0,0,0,0,0,136,0,0,0,0,0
Lebanon,0,0,4,0,50,0,0,0,0,0,0,0
Lithuania,0,0,0,0,0,0,0,474,0,0,0,0
"Taipei, Chinese",0,50,18,9,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,80,0,0
Oman,0,0,0,0,0,0,0,0,0,65,0,0
New Zealand,0,0,0,0,25,0,0,0,0,0,0,0
Norway,0,0,0,0,3,0,0,2,0,0,0,0
Panama,0,0,0,0,0,0,0,1,0,0,0,0
Philippines,0,0,1,0,0,37,0,0,0,0,0,0
Saudi Arabia,1600,6980,1965,1538,0,151,155,392,1924,0,14,0
Serbia,0,0,0,0,0,0,0,0,14,0,0,0
Singapore,249,0,100,55,6,101,54,48,125,0,0,0
South Africa,0,0,0,0,18,0,0,0,30,1,0,0
Sudan,0,0,0,0,0,0,0,0,80,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,8,0
Sweden,0,0,18,0,0,0,0,0,48,0,0,0
Switzerland,30,0,53,182,799,13,10,3,9,3,0,0
Tunisia,0,0,0,0,0,0,0,0,0,42,42,0
Egypt,14,0,1,4,0,0,0,1,49,133,0,0
Uruguay,0,0,0,0,0,54,0,0,0,0,0,0
HHI,0.416713032,0.471727378,0.370929533,0.412822356,0.392500994,0.371191615,0.472664894,0.346150407,0.390907902,0.332295658,0.439608851,0.420229069
