Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,4525,3403,2609,2393,3116,2186,3482,2920
Sri Lanka,2330,1957,1206,1517,1932,1175,1804,934
India,405,204,187,147,368,96,194,371
China,124,42,143,174,194,103,147,294
United Arab Emirates,111,45,60,27,77,40,108,276
Belgium,172,95,98,47,80,91,181,170
South Africa,164,173,160,63,91,161,198,146
Uganda,372,381,191,83,27,21,29,130
Kenya,28,16,41,16,43,64,112,114
Angola,10,3,9,14,51,22,27,91
Malaysia,6,0,2,15,14,1,3,78
France,301,225,308,82,33,20,87,67
Netherlands,145,112,0,22,11,13,70,56
Zambia,64,21,15,2,4,14,29,47
Egypt,3,0,0,0,1,226,0,35
Brazil,40,0,0,3,14,20,55,32
Türkiye,88,16,1,11,1,15,26,20
Lebanon,48,23,33,24,12,15,19,13
Italy,72,53,122,10,15,1,9,9
Senegal,0,1,0,0,0,0,0,9
Rwanda,2,1,0,0,0,0,1,7
Switzerland,1,0,7,2,11,0,48,7
"Tanzania, United Republic of",0,0,0,0,1,0,42,5
Indonesia,0,0,3,0,5,2,4,4
Germany,0,4,6,0,0,2,0,2
Côte d'Ivoire,0,6,0,0,0,0,2,2
Benin,0,0,0,0,0,0,0,1
United States of America,4,1,6,0,0,0,25,1
Cameroon,1,2,0,0,0,0,0,0
Canada,0,0,1,2,0,0,0,0
Colombia,0,0,0,0,0,0,30,0
Congo,0,0,0,0,0,1,0,0
Honduras,1,0,0,0,0,0,0,0
"Hong Kong, China",0,0,1,0,0,7,7,0
Japan,1,0,0,0,0,0,0,0
Jordan,1,1,0,0,0,0,0,0
Poland,0,0,0,0,0,1,0,0
Portugal,16,2,0,3,1,0,0,0
Saudi Arabia,0,0,0,0,10,0,0,0
Sierra Leone,0,0,0,0,8,0,0,0
Singapore,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,126,94,72,217,0
Slovenia,0,0,0,0,12,0,0,0
Spain,0,10,0,0,3,0,0,0
Eswatini,5,0,0,0,0,0,0,0
Sweden,0,0,4,0,0,0,0,0
Syrian Arab Republic,0,0,0,0,1,0,6,0
Thailand,1,0,1,0,0,0,0,0
United Kingdom,7,10,2,0,1,2,0,0
Burkina Faso,0,0,1,0,0,0,0,0
HHI,0.43391321,0.496226496,0.374338876,0.547502871,0.554515572,0.450150696,0.425268549,0.241487361
