Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1198,1176,1312,1307,1995,1528,999,2113
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,1175
Gabon,1,0,0,6,2,2,10,205
South Africa,228,80,124,57,313,136,265,154
Zambia,576,648,393,150,38,354,183,132
Congo,8,0,0,2,28,0,115,99
China,10,4,301,7,0,2,4,72
Belgium,36,24,97,45,61,30,140,63
"Tanzania, United Republic of",0,27,138,4,0,218,74,55
Angola,0,14,59,37,137,14,40,41
France,9,26,98,30,31,3,4,32
Singapore,0,0,0,0,0,0,0,30
Rwanda,44,52,16,50,5,20,0,17
Ukraine,0,0,0,0,0,0,0,14
Togo,2,70,0,8,3,1,0,5
Cameroon,9,2,2,9,6,0,6,3
Benin,3,3,19,1,1,0,0,3
United Arab Emirates,0,0,0,0,24,0,1,3
Tunisia,0,0,0,0,0,0,0,3
United States of America,5,5,2,0,6,0,0,3
Burundi,0,0,2,182,109,45,0,1
Guinea,2,33,0,6,1,0,0,1
Haiti,0,0,1,0,0,1,0,1
Greece,4,0,0,0,3,0,0,0
Senegal,5,4,1,5,2,0,3,0
Chad,0,0,1,0,0,0,0,0
Algeria,0,4,0,0,0,1,0,0
Australia,0,0,0,0,0,0,0,0
Bangladesh,0,27,0,0,0,0,0,0
Botswana,0,0,0,6,2,57,0,0
Brazil,0,3,0,0,0,0,0,0
Myanmar,0,0,0,2,0,0,0,0
Canada,22,21,0,4,0,0,0,0
Central African Republic,0,0,0,0,18,0,0,0
Denmark,0,0,0,2,2,0,0,0
Ethiopia,0,0,0,0,3,0,0,0
Finland,0,0,0,399,51,0,0,0
Djibouti,0,0,0,0,6,0,0,0
Germany,4,5,1,41,18,1,0,0
Ghana,7,1,1,1,161,0,27,0
Honduras,0,0,0,0,2,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0
Israel,0,2,2,0,64,1,0,0
Italy,3,0,0,0,0,0,0,0
Côte d'Ivoire,7,3,1,0,46,12,4,0
Japan,0,0,0,0,0,0,0,0
Jordan,20,0,0,0,0,0,0,0
Kenya,160,2,0,2,0,2,0,0
"Korea, Republic of",2,0,1,2,0,1,2,0
Lao People's Democratic Republic,0,0,0,0,0,2,0,0
Lebanon,0,0,0,0,3,0,0,0
Liberia,0,1,0,0,0,0,0,0
Madagascar,0,0,2,2,0,0,0,0
Malawi,0,26,0,0,1,0,4,0
Malaysia,0,0,0,0,0,0,0,0
Mali,0,0,1,0,259,0,91,0
Mauritius,0,3,0,0,0,0,1,0
"Taipei, Chinese",0,0,0,3,0,0,0,0
Morocco,0,0,0,0,5,609,0,0
Mozambique,0,0,0,8,0,0,0,0
Namibia,1,0,1,1,0,0,0,0
Netherlands,6,2,0,0,2,0,0,0
Niger,0,0,0,0,0,0,0,0
Nigeria,0,7,1,4,0,0,5,0
Pakistan,0,5,0,66,172,1,0,0
Portugal,3,0,0,0,14,0,0,0
Guinea-Bissau,3,1,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0
Russian Federation,0,0,0,0,2,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,2,0,0
Sierra Leone,0,12,0,2,0,0,1,0
India,0,3,22,1,0,0,1,0
Slovakia,0,0,0,1,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0
Zimbabwe,0,0,2,7,0,2,0,0
Spain,0,0,1,2,14,1,2,0
Sudan,4,0,0,0,0,0,0,0
Sweden,12,0,0,0,0,0,0,0
Switzerland,0,0,0,0,2,1,2,0
Thailand,0,0,0,0,0,1,0,0
Türkiye,0,0,0,0,2,0,0,0
Uganda,0,54,4,117,366,6,6,0
Egypt,0,2,1,0,8,0,0,0
United Kingdom,0,0,0,0,0,0,0,0
Burkina Faso,0,2,4,38,2,0,0,0
Uruguay,3,0,12,0,0,0,7,0
HHI,0.433880267,0.477164083,0.292712834,0.259856484,0.19371603,0.375792453,0.239365628,0.463236935
