Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,5611,13061,16595,11801,54485,53687,40812,57956,39160,98178,136632,68987
China,4038,11038,6975,5618,22478,7641,23519,24172,28660,67002,57822,41914
India,221,12,337,714,620,0,196,699,230,17637,55166,18309
"Iran, Islamic Republic of",112,131,4914,1017,845,6524,4514,4196,2267,4579,6491,3914
Türkiye,69,77,826,872,3776,15809,5149,5319,3036,4648,6320,3117
Pakistan,317,764,946,1693,14685,8655,4399,3802,3543,1816,4740,781
Japan,3,0,105,0,93,59,2,5846,6,76,564,297
United Arab Emirates,76,57,268,832,9222,14038,591,1985,246,666,1347,212
United States of America,0,30,33,35,0,119,10,1878,82,219,66,130
Poland,0,0,0,0,0,0,0,0,0,2,15,49
Malaysia,0,0,0,17,0,0,365,311,11,5,26,42
"Korea, Republic of",0,0,20,18,81,0,1,234,23,30,195,32
Finland,0,0,0,0,0,0,0,0,6,14,421,30
Indonesia,0,0,0,1,0,0,44,23,33,0,94,23
Thailand,35,0,1,0,0,0,188,49,66,715,1954,21
Netherlands,0,0,0,0,0,0,0,0,169,0,32,18
Viet Nam,0,0,0,0,34,0,24,37,4,8,183,18
Eswatini,0,0,0,0,0,0,0,0,0,0,99,15
Germany,2,45,85,218,173,0,6,125,79,105,102,14
Uzbekistan,0,885,421,0,0,0,0,0,0,142,207,10
Italy,0,0,4,1,151,8,40,43,58,74,65,8
France,0,0,1,0,0,0,0,0,35,0,171,7
Belgium,0,3,5,0,184,0,0,0,7,4,1,5
Kazakhstan,0,0,0,0,0,0,0,8100,0,0,6,5
Kenya,0,0,0,0,0,0,179,0,16,1,158,5
Austria,0,0,0,0,0,0,0,0,5,2,28,3
Canada,0,0,8,14,9,1,3,11,0,0,15,2
Hungary,0,0,0,0,0,0,0,7,1,0,0,2
Switzerland,0,0,6,0,11,10,1,25,22,4,2,2
Slovakia,0,0,0,0,0,0,0,0,0,0,0,1
Egypt,0,0,0,0,0,0,0,0,0,0,2,1
United Kingdom,0,0,54,37,614,43,32,59,39,56,61,1
Marshall Islands,0,0,0,0,2,22,0,159,0,0,0,0
Turkmenistan,0,0,0,8,0,0,0,5,3,0,0,0
Albania,0,0,1,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,16,0,0,0,0,0,0,0
Australia,0,8,0,1,0,0,2,0,0,0,1,0
Bahrain,0,0,0,0,0,0,0,0,0,0,1,0
Bangladesh,0,0,0,0,0,0,0,6,1,1,3,0
Brazil,0,0,0,0,0,0,0,0,0,0,2,0
Sri Lanka,0,0,0,0,0,0,0,0,1,0,2,0
Denmark,0,0,0,0,20,0,0,1,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,4,0,0
Guatemala,0,0,0,0,0,0,0,32,0,0,1,0
"Hong Kong, China",19,0,0,0,2,1,0,0,3,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,2,0
Jordan,0,0,0,0,0,0,0,0,0,0,14,0
Lebanon,0,0,0,0,0,0,0,0,0,0,6,0
Madagascar,0,0,0,0,0,0,0,0,0,0,10,0
Mauritius,0,0,0,0,0,0,0,0,0,0,2,0
Mexico,0,0,0,0,0,0,0,19,0,17,21,0
"Taipei, Chinese",717,0,92,383,1102,296,722,778,149,297,0,0
Oman,0,0,0,0,0,0,0,0,0,0,61,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,7,0
New Zealand,0,0,0,0,0,16,0,0,0,0,5,0
Niger,0,0,0,0,0,0,0,0,0,0,2,0
Philippines,0,0,0,0,0,0,0,0,0,1,1,0
Romania,0,0,0,0,0,0,0,0,1,0,0,0
Russian Federation,0,0,1300,0,0,0,0,5,56,48,53,0
Saudi Arabia,2,12,140,2,11,4,0,0,7,0,25,0
Singapore,0,0,0,4,0,0,0,0,24,0,1,0
Spain,0,0,0,0,0,0,0,4,6,0,24,0
Sweden,0,0,0,0,2,0,0,2,0,0,1,0
Tajikistan,0,0,6,317,354,423,823,23,262,0,10,0
Uganda,0,0,0,0,0,19,0,0,0,0,0,0
Ukraine,0,0,44,0,0,0,0,0,0,0,27,0
HHI,0.62701427,0.78904307,0.405667915,0.382344847,0.401849008,0.299966942,0.505194885,0.358280963,0.691776826,0.641375538,0.524668633,0.594191492
