Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,1025,1456,896,821,2293,681,1086,3002
South Africa,237,158,135,218,194,76,199,1228
China,395,457,376,373,696,275,476,925
India,43,49,47,41,40,75,129,241
Türkiye,0,0,3,9,5,7,7,225
Kenya,4,1,4,4,24,72,45,116
United States of America,17,3,6,7,7,6,22,53
Italy,17,4,1,2,109,2,6,39
Belgium,30,47,84,27,22,17,26,27
United Arab Emirates,23,3,5,31,935,13,40,22
France,17,30,18,10,69,10,16,17
Zambia,9,2,0,8,8,6,17,16
Bangladesh,0,6,0,7,0,0,0,14
"Tanzania, United Republic of",4,0,0,3,0,11,3,13
"Taipei, Chinese",1,2,0,1,2,0,4,10
Sweden,1,0,4,3,0,0,1,10
Thailand,0,0,0,0,0,0,0,10
Angola,0,0,1,0,0,0,1,6
Portugal,0,0,0,0,0,0,2,6
Viet Nam,0,0,0,0,0,0,0,6
Canada,0,2,3,2,1,1,1,4
Morocco,0,0,0,26,10,14,3,3
Uganda,11,5,5,2,23,20,2,3
Cambodia,0,0,0,0,0,0,0,2
Pakistan,0,0,0,0,0,0,0,2
Germany,23,11,37,4,0,1,1,1
Lebanon,0,0,1,0,3,1,1,1
Nigeria,1,0,0,0,1,0,0,1
Singapore,0,0,0,0,0,0,0,1
Argentina,0,1,0,0,0,0,0,0
Australia,15,9,10,0,2,2,26,0
Austria,1,0,0,0,0,0,0,0
Brazil,0,0,0,1,0,0,0,0
Colombia,4,0,0,0,0,0,0,0
Denmark,10,1,0,16,27,30,0,0
Gabon,0,0,1,0,0,0,0,0
Ghana,0,614,0,0,0,0,0,0
"Hong Kong, China",4,1,0,7,2,1,34,0
Iceland,0,0,0,1,0,0,0,0
Indonesia,12,26,3,0,0,0,0,0
Japan,108,4,1,0,0,0,2,0
"Korea, Republic of",28,16,134,5,71,2,0,0
Lesotho,0,0,0,2,1,0,0,0
Malaysia,5,0,0,0,1,2,2,0
Malta,0,0,0,1,0,0,0,0
Mexico,0,0,0,0,2,2,0,0
Netherlands,0,1,0,0,0,18,0,0
Poland,0,0,0,0,0,0,3,0
Rwanda,0,0,1,0,0,0,1,0
Zimbabwe,0,0,9,0,0,0,0,0
Spain,2,1,0,0,0,0,0,0
Eswatini,0,0,0,0,0,1,0,0
Switzerland,0,1,1,0,4,0,2,0
Togo,0,1,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,11,0
Egypt,0,0,1,0,0,0,0,0
United Kingdom,3,1,3,6,33,15,2,0
HHI,0.34119315,0.432494514,0.359385127,0.421692691,0.403246255,0.319293062,0.383543951,0.41545459
