Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,3775,1427,1408,2261,845,961,1141,1933
India,943,655,1055,1679,563,376,801,1122
Canada,0,208,0,0,0,0,0,269
Angola,0,5,58,3,4,0,0,127
Singapore,0,0,0,0,0,0,0,111
Rwanda,0,0,0,1,5,24,1,72
United Arab Emirates,610,339,127,189,128,151,37,69
Zambia,153,16,21,2,4,11,17,59
"Tanzania, United Republic of",0,0,0,0,0,307,4,37
Uganda,94,56,94,159,47,54,104,35
Burundi,0,0,0,0,0,7,24,16
Germany,26,3,30,10,9,7,95,10
Mali,0,0,0,0,0,0,0,5
South Africa,1864,68,7,0,35,17,0,2
Belgium,28,0,0,4,0,7,0,0
Botswana,5,0,15,0,0,0,0,0
Cambodia,12,0,0,0,0,0,0,0
Central African Republic,0,19,0,0,0,0,0,0
China,3,0,0,0,8,0,0,0
Congo,0,0,0,1,0,0,0,0
Ghana,0,0,0,0,42,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,49,0
Kenya,2,13,0,0,0,0,0,0
Liberia,0,2,0,0,0,0,0,0
Malawi,0,32,0,0,0,0,0,0
Malaysia,0,0,0,70,0,0,0,0
Nigeria,0,1,0,0,0,0,0,0
Poland,0,0,0,0,2,0,0,0
Saudi Arabia,34,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,9,0
Slovakia,2,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0
Türkiye,0,0,0,142,0,0,0,0
United Kingdom,0,10,0,0,0,0,0,0
HHI,0.416876517,0.374155249,0.627659966,0.647609592,0.554453675,0.317191651,0.583682172,0.455983418
