Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,0,0,0,2,2,0,0,11,0,0,0,0,0,141,118,672,804,3164,3651
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,672,740,3139,2631
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
Angola,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0
China,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,24,0
HHI,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0.739952481,0.973121968,0.567106917
