Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,9959,8782,10790,12463,17153,16798,31670,48169
China,3583,2719,4565,4540,5796,5225,8353,21655
Türkiye,173,202,151,889,1963,3238,7348,12822
South Africa,2405,1645,1425,1952,1775,895,2335,3343
Belgium,410,418,1337,644,1735,1328,2062,1803
Nigeria,92,357,116,380,1257,1742,2575,1518
India,303,715,167,497,246,597,1066,1243
Lesotho,67,50,126,157,70,92,1183,715
Kenya,248,221,172,97,186,190,402,648
Cambodia,150,366,638,755,871,121,605,571
Uganda,565,858,710,487,459,406,248,503
United Arab Emirates,231,131,221,758,421,756,2673,490
Zambia,116,39,20,77,74,107,97,437
United Kingdom,38,11,19,25,44,38,55,391
Italy,39,11,18,24,20,18,48,275
Denmark,0,0,0,30,0,62,167,245
France,90,114,106,184,239,242,299,208
"Tanzania, United Republic of",163,61,68,114,53,53,39,173
Albania,0,0,1,0,0,0,46,156
Benin,3,4,0,0,75,189,75,123
Rwanda,88,2,24,44,126,72,85,115
Pakistan,10,18,0,75,192,125,233,108
Romania,307,187,14,5,87,20,24,80
United States of America,150,30,17,169,110,76,245,73
Canada,4,22,14,78,21,30,21,69
Viet Nam,17,29,35,18,70,4,153,38
Spain,27,22,48,70,55,28,84,37
Sweden,11,3,2,8,2,3,7,37
"Hong Kong, China",6,8,16,37,119,252,34,31
Switzerland,31,30,16,17,17,39,7,28
Indonesia,27,12,0,0,0,0,2,23
Lebanon,8,9,16,22,9,52,27,23
Bangladesh,0,21,11,20,9,2,8,21
Germany,216,19,18,104,150,26,97,18
Japan,4,21,6,0,4,12,6,12
"Taipei, Chinese",2,1,1,0,0,1,3,12
Senegal,2,8,2,0,2,1,2,12
Angola,2,39,1,0,0,2,20,10
Côte d'Ivoire,111,87,0,3,5,1,1,9
Morocco,25,4,0,75,43,45,26,9
Djibouti,0,1,0,0,0,0,0,7
Mali,0,9,0,2,0,4,1,6
Netherlands,59,15,3,5,96,125,43,6
Portugal,1,0,0,0,0,0,12,5
Australia,39,37,8,17,6,209,323,4
Greece,0,0,26,0,1,2,0,4
Kuwait,0,0,0,0,0,0,0,4
Norway,1,0,0,1,2,0,3,4
Eswatini,5,8,0,0,9,14,3,4
Madagascar,0,20,0,2,1,0,0,3
Malaysia,0,0,1,2,1,3,97,3
Mozambique,1,1,0,0,0,0,2,3
Singapore,3,0,2,0,1,7,0,3
Thailand,2,2,0,5,1,0,0,3
Tunisia,11,95,6,0,167,192,310,3
Turks and Caicos Islands,0,0,3,0,0,0,3,3
Tokelau,0,0,2,0,0,0,2,2
Brunei Darussalam,0,0,0,0,0,0,0,2
Burundi,1,1,0,0,3,0,0,2
Ireland,0,1,0,1,0,0,3,2
Malawi,0,0,0,0,1,0,0,2
Egypt,0,1,5,2,0,1,4,2
Dominican Republic,0,0,2,0,0,0,0,1
"Korea, Republic of",1,16,588,5,482,0,0,1
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,1
Zimbabwe,1,3,13,19,11,59,8,1
Togo,13,2,1,1,2,1,4,1
Chad,0,0,0,0,0,1,0,0
Equatorial Guinea,0,0,12,0,0,0,0,0
Austria,2,0,0,0,0,8,0,0
Bhutan,0,0,0,3,2,0,0,0
Botswana,6,0,0,2,0,0,0,0
Brazil,7,0,5,0,0,0,2,0
Belarus,0,16,0,0,0,0,0,0
Cameroon,10,2,2,1,5,7,11,0
Central African Republic,0,0,0,2,0,0,0,0
Sri Lanka,0,15,0,0,0,3,0,0
Colombia,2,0,0,0,0,0,0,0
Congo,1,0,1,1,0,0,0,0
Cuba,0,0,0,0,0,3,0,0
Ethiopia,0,2,0,0,2,6,3,0
Finland,0,1,1,27,1,1,3,0
Gabon,1,7,0,0,0,0,0,0
Georgia,0,0,0,2,0,0,0,0
Gambia,0,0,0,0,0,0,1,0
Ghana,21,0,0,0,2,1,8,0
Guinea,0,0,0,0,0,0,1,0
Israel,0,0,0,0,0,42,0,0
Jamaica,4,2,0,0,0,0,0,0
Kazakhstan,0,0,0,0,2,0,0,0
Jordan,2,0,0,0,0,3,0,0
Luxembourg,23,14,0,1,41,13,0,0
Malta,1,0,0,0,0,0,0,0
Mauritania,0,2,0,0,0,0,0,0
Mauritius,1,0,0,0,0,0,1,0
Mexico,0,0,2,0,1,0,0,0
Oman,0,0,0,2,0,0,0,0
Namibia,0,0,1,0,0,3,0,0
New Caledonia,1,0,2,0,0,0,0,0
Niger,0,2,0,0,0,0,4,0
Philippines,0,0,0,2,3,0,0,0
Poland,0,0,0,0,0,0,2,0
Guinea-Bissau,8,0,0,0,0,0,0,0
Russian Federation,0,1,0,0,0,0,1,0
Saint Kitts and Nevis,0,0,0,0,0,0,5,0
Saudi Arabia,0,1,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,2,0
Sierra Leone,0,0,0,0,0,0,2,0
Slovakia,0,0,0,0,0,0,34,0
Sudan,0,5,0,0,0,0,3,0
Ukraine,0,0,0,0,0,0,2,0
"Macedonia, North",7,0,0,0,0,0,0,0
Burkina Faso,0,4,0,1,0,0,0,0
HHI,0.366228864,0.308932297,0.390507677,0.330997188,0.308441044,0.309551195,0.305437834,0.465069538
