Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,88,392,145,218,162,438,226,124,307,284,238,201,148,195,243,345,194,184,147,200
Spain,4,15,4,13,3,9,14,18,24,26,19,35,18,17,42,35,37,20,14,74
Portugal,58,290,106,131,97,343,179,73,248,223,167,114,80,134,133,259,83,110,78,73
China,9,41,13,15,22,48,15,16,10,11,14,24,30,26,26,30,39,34,35,24
Italy,7,38,5,9,19,12,3,5,5,4,15,7,5,3,16,9,11,3,6,12
Morocco,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,4
Germany,0,1,0,2,0,0,1,3,2,5,9,3,1,0,2,1,6,6,1,3
Senegal,1,0,1,1,4,4,1,2,2,2,2,2,1,2,5,1,2,1,1,3
Belgium,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,0,1,2
United States of America,1,2,3,13,3,2,4,1,2,2,6,5,1,0,1,3,1,2,4,2
France,0,0,0,0,0,0,1,2,5,1,1,0,1,0,3,1,2,0,1,1
Netherlands,0,0,1,1,2,6,3,1,2,0,0,0,2,0,2,2,3,3,3,1
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Brazil,5,4,7,23,10,11,2,1,5,2,0,1,0,0,1,1,1,1,0,0
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0
Japan,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Macao, China",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
India,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,2,0,3,5,1,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0
United Kingdom,0,0,0,0,0,0,1,1,1,2,1,5,3,6,3,1,2,0,0,0
HHI,0.499120243,0.60529096,0.619883784,0.458340457,0.443945039,0.688109406,0.715722726,0.459300874,0.732057994,0.702218629,0.596596212,0.438211249,0.426391869,0.546184375,0.43105418,0.672195275,0.345907394,0.468690237,0.415927784,0.338280491
