Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,17,34,90,174,118,563,570,645,724,574,823,905,601,717,951,866,1112,1085,1110,1246
Niger,0,3,62,149,99,456,479,591,580,483,787,900,591,691,949,765,1099,1076,1090,1213
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,3,0,2,31
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Senegal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,18,0
China,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,4,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
France,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
Ghana,13,0,0,0,0,0,8,0,16,0,0,4,0,0,0,0,0,3,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Italy,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,2,0,28,37,0,0,0,0,26,2,0,7,4,1,0
Morocco,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,3,0,0,10,19,105,3,25,91,62,21,0,0,0,0,0,0,0,0,0
United States of America,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0.265274108,0.137805227,0.345397619,0.74638569,0.502530156,0.600494558,0.759614952,0.806282487,0.625628998,0.699744995,0.92163854,0.981170476,0.943580399,0.878521487,0.992827306,0.780639402,0.976673528,0.983432409,0.964235868,0.938089267
