Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,3064,56,17688,23952,17781,22153,18386,21731,9427,20500,48784,40749,35722,31840,51209,54569,95458,54949
China,48,2,7428,4592,6065,9745,1398,6158,2397,4362,9294,5868,3626,8102,12529,15594,10710,17803
Tunisia,0,0,36,73,4,23,2,53,7,94,155,34,215,244,117,79,361,6715
France,1992,50,4634,11016,4408,5288,5155,6772,2314,7770,10005,8223,18215,3503,7734,7254,11044,5828
United States of America,104,1,673,1371,1560,1308,535,1645,961,1538,4564,2868,1261,834,8309,3905,2054,4565
Cameroon,275,0,384,975,375,575,1125,264,144,209,784,198,645,130,1227,12737,23290,3766
Indonesia,0,0,35,35,31,18,79,16,57,0,0,0,0,2,0,0,218,2365
"Korea, Republic of",0,0,0,0,43,58,174,66,4,42,46,0,26,24,3,158,553,1689
United Kingdom,40,0,330,671,155,458,99,859,83,271,1225,6634,1594,6054,4220,205,3690,1406
Italy,43,0,78,14,55,629,52,674,115,1028,1049,3120,3426,3094,1626,1708,419,1315
"Hong Kong, China",12,0,0,86,237,123,34,151,386,0,80,9,257,0,194,1092,501,1083
Madagascar,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,1002
United Arab Emirates,0,0,334,464,129,298,410,463,242,638,1195,601,870,487,691,748,1049,900
Belgium,44,0,35,151,141,334,201,235,173,75,1827,432,414,377,899,1412,1020,838
Denmark,11,0,338,212,115,30,13,98,63,536,2011,1775,322,830,478,616,7942,752
Switzerland,78,0,214,250,160,110,6,219,445,519,1439,491,975,802,414,493,320,592
Netherlands,3,0,121,424,355,380,395,123,276,127,550,149,278,445,3379,377,810,574
Uganda,0,0,0,128,1,0,0,0,0,0,1009,2529,22,2,2155,0,85,405
Lebanon,26,0,342,617,688,633,131,455,82,173,201,249,462,42,325,262,363,401
India,0,0,51,4,0,15,108,719,89,122,27,247,751,221,68,4477,3255,394
Ireland,0,0,0,58,88,48,10,2,0,0,0,27,0,301,368,0,107,274
South Africa,0,0,155,780,331,93,161,90,51,126,59,571,89,1629,89,48,85,258
Morocco,0,0,0,0,53,235,19,209,91,61,88,24,36,50,661,101,108,214
Singapore,0,0,13,3,66,48,0,131,1,0,816,0,0,7,106,0,144,167
Sweden,0,0,1615,139,746,52,205,155,0,82,29,1127,427,29,151,770,205,167
Israel,0,0,0,120,234,68,8,281,104,58,152,755,132,4,25,109,334,162
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,135
Germany,12,0,52,68,271,41,679,300,126,222,1717,517,131,2964,405,476,169,132
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2,60,126
Kenya,0,0,10,0,37,0,0,2,18,9,5,0,32,12,2,9,320,111
Luxembourg,0,0,0,0,7,2,0,0,0,0,0,27,0,0,0,25,0,93
Côte d'Ivoire,0,0,24,42,16,8,16,10,5,23,322,12,14,0,19,12,1,85
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,76
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,13,443,1,0,129,71
Senegal,4,0,49,66,1,2,1377,337,100,35,81,50,0,26,69,15,116,63
Japan,8,0,123,256,503,325,2721,21,295,75,91,127,16,207,100,96,320,59
Czech Republic,0,0,69,107,314,106,0,0,11,0,0,73,0,3,0,3,0,54
Gabon,0,0,0,0,0,0,37,0,0,38,0,1,26,0,0,0,0,49
Ghana,0,0,0,2,0,5,5,60,56,93,49,10,32,4,0,0,0,39
Malaysia,12,0,9,28,44,25,1562,92,43,150,112,124,135,93,86,104,27,38
Spain,12,0,5,594,3,204,50,449,5,108,68,254,210,247,18,502,55,38
Chad,8,0,0,0,0,1,44,10,0,0,25,0,2,0,43,0,0,34
Nigeria,0,0,31,5,0,10,1,10,28,0,0,0,0,14,238,55,23721,31
Congo,0,0,0,0,0,0,179,0,0,5,0,0,33,4,140,68,82,19
Hungary,0,0,0,0,0,6,0,41,0,54,66,251,0,52,13,2,27,11
Slovenia,0,0,0,0,0,0,0,0,0,0,0,33,0,16,0,0,0,11
Australia,54,0,146,165,70,24,0,24,91,901,1629,934,45,10,1077,270,959,10
Bulgaria,0,0,0,0,0,118,7,0,0,0,1,0,0,0,0,4,96,8
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
New Zealand,0,0,31,0,0,0,0,0,26,0,1090,0,0,0,0,0,0,7
Greece,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,0,1,2
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Caribbean Nes,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,36,87,0,0,0,0
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0
"Korea, Democratic People's Republic of",0,0,7,13,0,23,0,0,0,0,9,0,0,5,0,0,0,0
United States Minor Outlying Islands,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
