Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,62975,57492,52004,56624,33519
India,6324,7679,4777,8735,5929
United States of America,13487,10137,8276,8812,3833
Peru,10528,11707,9626,8610,3289
Türkiye,1797,5412,2707,5072,2934
Dominican Republic,11061,8207,5196,5425,2700
Colombia,4582,605,4933,3891,2559
Mexico,317,86,872,2637,2533
France,3131,4114,3666,4008,2458
United Arab Emirates,0,3,2144,1596,2198
Brazil,260,799,1189,1349,1017
Spain,352,442,497,329,970
Chile,1609,1847,1867,1573,912
"Hong Kong, China",954,2397,1756,604,727
Netherlands,2555,2105,1576,165,336
Italy,272,190,212,1764,233
China,1120,570,709,562,229
Canada,397,483,354,337,218
Germany,0,0,69,291,213
Uruguay,0,0,0,0,64
Ecuador,211,26,8,0,43
Ireland,0,0,0,43,34
El Salvador,0,0,0,12,25
Belgium,46,35,82,616,23
Denmark,0,28,52,69,10
Guatemala,24,0,0,4,7
Portugal,75,42,23,16,6
Viet Nam,0,20,4,1,6
Ukraine,0,12,48,16,4
New Zealand,0,0,0,0,2
"Venezuela, Bolivarian Republic of",0,0,0,0,2
Jamaica,2230,164,127,22,1
Curaçao,24,0,0,0,1
Trinidad and Tobago,0,0,0,2,1
Algeria,0,0,5,3,0
Argentina,6,65,0,0,0
Bahamas,384,1,0,0,0
"Bolivia, Plurinational State of",22,0,0,0,0
Costa Rica,32,0,0,0,0
Croatia,0,0,2,0,0
Dominica,0,0,0,1,0
Georgia,0,0,0,1,0
Indonesia,0,53,109,0,0
Japan,0,0,7,0,0
"Korea, Republic of",948,0,0,0,0
Malaysia,1,0,0,0,0
Mali,0,35,0,0,0
Nicaragua,71,0,0,21,0
Pakistan,0,0,0,4,0
Panama,68,24,119,0,0
Poland,0,96,76,0,0
Saudi Arabia,0,0,171,0,0
Singapore,35,34,31,34,0
Eswatini,0,2,0,0,0
Switzerland,48,59,1,0,0
Egypt,0,14,712,0,0
HHI,0.219589357,0.22722808,0.17922735,0.181838375,0.157701328
