Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,10,0,185,116,51,110,481,26,269,12,553,79,148,313,545,250,496,115
Cameroon,0,0,0,0,1,0,0,0,0,0,3,0,29,145,377,187,154,91
Benin,0,0,0,0,0,0,0,0,257,0,0,76,0,134,67,0,0,18
France,10,0,5,11,1,91,0,2,2,0,0,0,0,1,0,55,0,5
Chad,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,8,8,0,12,390,0,0,3,1,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Denmark,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,53,0,0,24,0,0,0,0
"Hong Kong, China",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Italy,0,0,177,101,13,13,0,1,0,0,101,0,33,0,0,0,0,0
Lebanon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,234,0,0,0,0,0,0,0,5,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0
Nigeria,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0
India,0,0,0,0,4,0,39,0,0,0,0,0,0,3,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0
Spain,0,0,0,0,0,0,1,0,0,0,0,0,58,0,0,0,0,0
Eswatini,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
United States of America,0,0,0,0,5,6,0,0,10,0,5,3,1,0,0,0,343,0
Burkina Faso,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
HHI,1,0,0.898913408,0.752524932,0.10079032,0.615402304,0.355924775,0.318956015,0.89623136,1,0.520362315,0.872904279,0.169432867,0.414268659,0.500608776,0.601886377,0.173879898,0.545266239
