Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,47271,41492,52387,49699,50250,53762,65650,66455,22537,190,227,2876,10331,10496,16376,17081,37780,66698
United Arab Emirates,0,0,0,5355,0,6137,2279,11497,6128,165,0,421,4462,7237,9368,9821,27381,48141
Italy,0,19,121,50,0,38,379,0,0,0,0,521,0,0,0,0,8577,14674
Switzerland,789,2710,7480,2277,143,950,0,917,31,0,0,0,222,768,3020,3078,1038,3239
India,0,0,0,113,53,0,417,0,0,0,0,0,0,0,0,0,0,428
China,0,0,66,0,0,41,5848,198,0,0,0,45,526,376,1152,471,0,120
Belgium,45029,27750,24764,34150,47065,36982,363,51380,16131,0,61,1692,2037,633,159,35,53,53
"Hong Kong, China",0,0,0,0,0,0,0,2131,0,0,0,103,1520,345,1023,512,0,32
Cameroon,0,0,0,0,0,0,8815,0,0,25,0,0,187,96,276,125,445,11
Chad,0,0,0,0,0,0,452,0,0,0,138,0,0,0,0,0,0,0
"Korea, Democratic People's Republic of",0,0,0,0,56,31,0,0,0,0,0,0,0,51,0,0,3,0
Bulgaria,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,93,60,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Denmark,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
France,1453,1096,1005,668,118,63,17593,85,3,0,13,45,130,36,60,64,0,0
Germany,0,0,179,0,26,0,4761,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
Iceland,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,1566,0,0,0,0,0,0,0,0,0,0,0
Israel,0,9251,18230,6212,118,6698,0,39,0,0,0,0,830,489,1223,50,39,0
Japan,0,144,0,8,0,0,11117,14,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0
"Korea, Republic of",0,0,0,0,0,34,0,0,190,0,0,0,312,292,0,0,0,0
Lebanon,0,0,0,0,23,0,1504,0,0,0,0,0,0,0,58,0,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
Malaysia,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,2261,39,0,0,0,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
Saudi Arabia,0,69,0,58,2305,2249,0,3,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,311,0,0,0,0,0,0,36,0,0,0,0
Viet Nam,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,392,530,209,94,0,20,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,2091,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,16,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Togo,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,26,150,0,0,0,0,0,0,0,0,55,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2853,0,0
Ukraine,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,8,0,39,0,2611,0,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0
United States of America,0,41,116,0,0,10,0,0,23,0,15,0,0,0,0,29,0,0
HHI,0.889301434,0.562871031,0.433738396,0.590036883,0.912504922,0.603989085,0.218763519,0.709067956,0.623355029,0.584601489,0.340800119,0.434287696,0.308267236,0.578258648,0.434412569,0.465505787,0.64013254,0.62278802
