Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1996,43,1252,0,0,0,0,0,0,0,2196,1181,1578,3117,1400,4798,791,3566
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,1695
Namibia,0,0,0,0,0,0,0,0,0,0,163,15,0,99,43,3995,308,1468
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,148
United Kingdom,0,0,0,0,0,0,0,0,0,0,87,133,44,4,737,0,48,40
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,7,2,8,1,0,1,2,33
Gabon,0,0,8,0,0,0,0,0,0,0,34,3,93,754,169,0,0,31
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
South Africa,880,0,83,0,0,0,0,0,0,0,16,24,10,3,102,15,1,26
Congo,57,33,169,0,0,0,0,0,0,0,160,13,278,41,48,50,89,24
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,23
Belgium,447,0,0,0,0,0,0,0,0,0,381,6,126,27,1,98,0,12
Lebanon,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10
"Congo, Democratic Republic of the",183,0,0,0,0,0,0,0,0,0,7,26,12,30,47,115,88,9
United States of America,0,0,605,0,0,0,0,0,0,0,188,13,10,45,4,17,0,5
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Germany,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3
Ghana,0,0,0,0,0,0,0,0,0,0,28,7,9,57,0,0,3,3
Spain,0,0,0,0,0,0,0,0,0,0,4,0,3,8,5,2,12,1
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
China,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0
France,4,3,6,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,79,1,0,32,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1,0
Portugal,0,0,0,0,0,0,0,0,0,0,1,1,60,0,0,0,81,0
Singapore,178,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
Equatorial Guinea,23,0,12,0,0,0,0,0,0,0,42,0,50,494,0,0,10,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"Bolivia, Plurinational State of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,1,164,0,0,0,0,0,0
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Cameroon,0,4,0,0,0,0,0,0,0,0,9,13,9,1374,8,2,1,0
Canada,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Denmark,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
Lao People's Democratic Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0
Netherlands,0,0,1,0,0,0,0,0,0,0,0,614,1,38,0,244,0,0
