Importers,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,10,47,0,0,0,0,0,0,0,170,302,114,198,75,60,403,143
Namibia,0,0,0,0,0,0,0,0,0,0,1,106,8,12,0,12,40,43
South Africa,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,2,9,5,1,1,13,1,26
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,37,22,41,8,24,26,9,19
Zimbabwe,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Congo,0,0,17,0,0,0,0,0,0,0,42,0,10,0,3,0,257,6
Spain,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
China,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,5,0
Germany,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
United States of America,0,0,20,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,88,0,37,0,0,0,0
Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0
"Korea, Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,43,0,43,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,3,0,0,0,0,0,0,0,6,0,0,2,0,0,8,0
"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HHI,0,1,0.163034074,0,0,0,0,0,0,0,0.230243079,0.30616778,0.335122759,0.381096914,0.445002842,0.07393358,0.531160127,0.122940541
