Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,15357,37989,50583,56742,24869,24875,26156,25776,19452,17542,18517,28657,22342,14956,15195,7483,7167,6167
Germany,4679,10319,10775,11699,6815,8455,1473,8357,7168,6858,3550,3258,2371,1776,1722,1046,1873,1834
Viet Nam,0,0,0,0,40,193,96,484,400,390,1208,3052,3998,2310,2145,1119,1050,1194
China,18,657,14504,19807,7539,7227,2216,7806,6097,4927,6289,8531,8158,4555,5767,2101,2150,870
France,2431,4910,6097,9735,5063,5562,8251,6734,5247,4270,4580,7655,4664,2758,2098,1827,914,828
Spain,830,749,1244,1771,887,779,174,73,17,0,49,9,0,36,0,0,43,248
India,0,0,39,107,225,126,467,201,12,17,66,0,87,148,77,123,131,174
Italy,684,874,3823,3448,1276,354,660,101,27,9,31,211,86,255,9,87,1,165
Denmark,363,0,993,596,199,64,174,149,92,124,292,692,117,182,263,110,269,146
Türkiye,504,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
Portugal,503,1282,1711,1088,172,72,97,159,6,0,4,156,203,191,122,107,108,106
United Arab Emirates,0,0,0,0,0,5,504,0,0,0,120,279,156,102,22,158,213,105
Austria,0,0,0,0,0,0,7,0,0,323,1126,1871,696,500,480,187,157,100
Senegal,0,0,0,0,0,0,422,112,67,156,428,513,236,220,162,30,80,56
Cameroon,2207,5995,472,1494,448,61,1202,80,7,66,69,67,651,1520,2188,326,19,34
Morocco,23,135,181,67,132,34,213,5,0,0,0,8,0,0,0,0,0,33
Pakistan,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,33
Canada,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,25
Malaysia,0,54,580,1236,65,33,80,18,0,0,0,0,0,0,0,7,4,23
Congo,36,0,0,0,0,0,289,0,0,73,11,0,68,17,7,18,16,10
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8
Belgium,46,1368,129,432,13,58,823,172,39,13,8,93,120,203,29,26,54,7
Turks and Caicos Islands,0,0,2504,3060,1240,776,510,689,201,208,253,250,527,90,1,6,4,7
