Exporters,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017
World,32291,23962,17097,19956,19182
United States of America,19199,9320,8536,8158,10535
China,1431,2005,1032,2839,1301
Netherlands,918,1015,798,1741,1088
Belgium,1001,960,1294,1645,1036
Germany,888,821,441,624,976
"Hong Kong, China",96,70,123,119,883
France,2125,1386,716,1115,481
Canada,649,1339,1023,400,380
Italy,413,191,566,219,277
Denmark,988,1739,56,227,245
United Kingdom,70,163,12,86,241
Panama,814,478,535,260,219
India,105,192,99,69,213
Dominican Republic,465,967,114,251,197
Ireland,5,11,0,57,149
Japan,572,76,88,142,126
Colombia,253,80,31,10,122
Eswatini,267,134,67,79,110
Mexico,122,98,131,99,109
Israel,68,577,0,15,101
"Korea, Republic of",43,81,38,38,67
"Taipei, Chinese",10,85,97,118,65
Austria,1,97,60,0,51
Viet Nam,0,29,70,51,31
Costa Rica,0,154,0,152,29
Australia,1,16,11,30,27
Spain,180,10,78,37,19
Switzerland,188,135,16,0,14
United Arab Emirates,13,25,193,163,14
Jamaica,930,98,101,70,11
Sweden,16,7,1,140,10
Brazil,168,87,55,168,8
Pakistan,16,20,17,3,8
Cuba,0,324,54,2,7
Poland,0,0,0,0,7
Barbados,2,3,0,6,6
Jordan,1,0,0,0,5
Thailand,4,5,471,7,4
Türkiye,2,0,0,12,4
Malaysia,0,0,0,1,3
Cyprus,0,0,0,0,1
Philippines,2,0,0,0,1
Uruguay,107,334,6,0,1
Albania,0,0,14,0,0
Argentina,30,0,8,38,0
Bahamas,72,1,6,0,0
Chile,23,8,1,1,0
Congo,0,1,0,0,0
Finland,5,0,0,0,0
Guatemala,0,5,0,0,0
Honduras,0,0,2,0,0
Côte d'Ivoire,1,0,0,0,0
Kenya,0,0,1,0,0
Liberia,0,0,0,0,0
Lithuania,0,51,0,602,0
Luxembourg,0,0,0,3,0
"Macao, China",0,0,8,0,0
Mozambique,0,0,0,6,0
Curaçao,0,40,0,0,0
New Zealand,0,0,0,71,0
Nigeria,0,434,21,0,0
Norway,0,37,0,0,0
Portugal,0,0,0,3,0
Qatar,0,15,30,0,0
Saudi Arabia,20,29,0,0,0
Senegal,0,0,9,0,0
Singapore,1,91,0,0,0
South Africa,0,0,66,78,0
Trinidad and Tobago,2,3,0,1,0
Ukraine,4,0,0,0,0
"Venezuela, Bolivarian Republic of",0,114,0,0,0
HHI,0.536759776,0.327162413,0.434555156,0.3611121,0.486767964
