Importers,Exported value in 2003,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,1,0,61,15,6,0,7,0,28,0,0,100,189,79,6,12,80,2
Cameroon,0,0,61,15,6,0,0,0,2,0,0,0,25,16,6,4,2,2
Chad,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
China,0,0,0,0,0,0,1,0,0,0,0,0,32,25,0,0,0,0
Congo,1,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0
France,0,0,0,0,0,0,3,0,0,0,0,100,0,39,0,7,79,0
"Hong Kong, China",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Namibia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HHI,1,0,1,1,1,0,0.305477443,0,0.765493476,0,0,1,0.411578336,0.101814918,1,0.235781367,0.958402605,1
