Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,27452,19051,18023,20150,27652,18585,31288,101031
Ethiopia,0,0,1,0,0,879,444,45972
China,6172,5081,5199,5454,6988,4848,7544,15173
"Tanzania, United Republic of",8733,5447,4861,5565,10019,3727,7892,14856
Morocco,3,35,0,10,1,1242,0,5097
South Africa,2307,1228,1442,1819,1731,1503,2162,2595
Spain,2983,2015,2146,2017,2163,1960,5718,2355
Belgium,590,567,278,1113,453,555,909,2295
India,578,950,597,461,1007,917,1258,2238
Germany,511,843,325,636,655,52,111,1842
Rwanda,3,5,8,33,89,112,155,1674
Tunisia,0,50,18,778,2096,242,130,1079
Angola,1,781,1166,1,533,846,1559,883
Australia,30,29,11,6,13,7,14,788
Portugal,1190,40,2,26,665,15,439,523
United Arab Emirates,739,209,217,206,191,423,425,510
Türkiye,108,81,85,117,120,115,464,474
France,144,118,142,161,84,114,89,417
Zambia,100,165,46,93,94,328,249,333
Italy,49,108,188,162,57,46,218,225
Nigeria,86,25,6,2,32,1,93,225
Uganda,455,82,187,170,45,84,65,172
United States of America,204,207,114,94,127,74,204,141
Poland,37,89,2,176,55,74,74,138
Austria,0,0,0,0,4,4,0,137
Pakistan,31,4,3,0,0,9,3,103
Finland,24,56,70,10,5,20,56,96
Lebanon,383,61,31,79,62,38,22,71
Japan,90,29,107,59,45,39,70,61
Kenya,123,53,8,21,21,54,31,57
Belarus,0,0,0,0,0,0,0,55
Congo,14,0,0,0,0,0,0,45
Denmark,3,4,2,7,9,3,5,41
Singapore,0,3,0,10,1,15,10,41
Czech Republic,0,2,0,8,3,0,28,37
United Kingdom,74,57,48,74,54,50,69,36
"Hong Kong, China",23,2,5,80,10,1,13,35
"Taipei, Chinese",42,4,0,30,5,1,0,28
Saudi Arabia,15,22,18,16,30,0,13,24
Thailand,16,17,23,37,5,26,6,24
Indonesia,138,49,31,63,19,13,16,22
Netherlands,75,152,61,4,12,19,133,19
Senegal,0,0,0,0,0,3,0,19
Bulgaria,26,0,0,0,25,0,3,13
"Korea, Republic of",37,1,7,3,1,2,26,9
Sweden,3,8,8,17,8,13,17,7
Switzerland,77,4,7,1,4,1,18,7
Burundi,0,0,0,3,19,15,13,6
Canada,22,10,2,4,3,14,12,6
Mauritius,6,0,3,0,0,0,2,4
Greece,0,0,0,0,0,0,0,3
Slovakia,0,0,0,0,0,0,0,3
Egypt,34,282,20,4,0,1,17,3
Bangladesh,0,0,0,0,1,0,0,2
Malaysia,5,5,4,8,3,1,1,2
Namibia,0,0,0,0,10,0,0,2
Eswatini,0,0,0,0,0,0,0,2
Brazil,92,39,28,32,30,60,54,1
Benin,0,0,0,0,0,0,0,1
Hungary,0,6,0,0,0,0,1,1
Ireland,0,0,0,0,0,0,0,1
Côte d'Ivoire,7,0,0,0,4,0,3,1
Serbia,0,0,0,0,0,0,0,1
Zimbabwe,22,0,0,0,0,0,0,1
Syrian Arab Republic,0,0,0,0,0,0,0,1
Malawi,0,0,0,0,0,0,0,0
Togo,1,0,0,0,0,0,3,0
"Korea, Democratic People's Republic of",3,0,0,0,0,2,0,0
United States Minor Outlying Islands,201,0,0,0,0,0,0,0
Albania,0,0,0,0,12,0,1,0
Cameroon,782,0,486,463,6,0,0,0
Sri Lanka,1,1,0,0,0,0,0,0
Costa Rica,13,0,0,0,0,0,0,0
Croatia,0,12,0,3,0,0,1,0
Djibouti,0,0,0,0,0,0,371,0
Gabon,1,0,1,0,0,0,0,0
Ghana,2,0,0,0,1,0,0,0
Haiti,0,0,0,0,0,0,0,0
Honduras,1,0,0,0,0,0,0,0
Israel,0,0,0,0,6,0,0,0
Jordan,1,0,0,0,0,0,0,0
Liberia,0,0,0,9,0,0,0,0
Madagascar,0,0,1,0,0,0,1,0
Mali,0,0,5,0,0,0,0,0
Mexico,1,0,0,0,5,0,0,0
Montenegro,2,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0,0
Oman,0,0,0,1,0,0,0,0
Niger,3,0,0,0,0,0,0,0
Norway,0,1,0,0,0,7,43,0
Romania,8,0,0,0,0,1,7,0
Russian Federation,9,0,0,1,8,0,0,0
Sierra Leone,0,0,1,0,0,0,1,0
Suriname,0,7,0,0,0,0,0,0
Ukraine,15,2,0,0,0,6,0,0
HHI,0.335129231,0.323950443,0.330999954,0.321150843,0.378175992,0.269904821,0.316169802,0.436477933
