Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,987,363,344,450,346,206,194,253
China,32,101,100,114,23,81,49,107
United Arab Emirates,47,19,72,3,46,18,23,35
Spain,0,4,0,9,3,0,31,33
Belgium,260,42,40,99,31,64,14,30
Switzerland,0,1,0,0,43,0,0,13
Kenya,1,3,0,0,1,0,0,10
India,8,2,4,4,0,1,19,7
Germany,139,120,41,172,120,3,6,6
France,28,10,15,16,37,5,0,5
"Taipei, Chinese",0,0,0,0,0,0,0,2
Netherlands,308,44,53,4,21,2,1,2
South Africa,17,2,5,3,3,7,3,2
Japan,1,12,5,1,7,8,4,1
Philippines,0,0,0,0,0,0,0,1
Zambia,0,0,1,0,0,1,3,1
Australia,0,1,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,1,0,0
Cameroon,0,0,0,0,1,0,0,0
Denmark,27,2,0,5,1,0,0,0
Italy,5,0,1,0,0,0,0,0
Malaysia,66,0,1,0,0,0,0,0
Morocco,0,0,0,0,0,0,2,0
Nigeria,1,0,0,0,0,0,0,0
Portugal,15,0,0,0,0,0,0,0
Viet Nam,2,0,0,0,0,0,0,0
Tunisia,0,1,0,0,0,1,0,0
Türkiye,0,0,1,0,0,1,0,0
Uganda,1,0,0,0,0,0,0,0
United Kingdom,29,0,0,13,0,0,0,0
"Tanzania, United Republic of",0,0,0,0,0,0,11,0
United States of America,2,0,4,6,9,13,28,0
HHI,0.278918264,0.283759662,0.218122718,0.324139047,0.21784615,0.33968755,0.141725262,0.305754313
