Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Total,4,2,0,70,21,0,14,10,1796,4,1,15,3,8,7,0,36,0,0,5
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
Nigeria,0,0,0,0,0,0,0,0,1794,0,0,0,0,0,0,0,0,0,0,0
Ecuador,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,2,0,0,21,0,14,9,0,4,1,15,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0
Italy,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cameroon,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0
HHI,0,1,0,1,1,0,1,0.677488313,0.9962001,1,1,1,0.130590976,0.074300818,0.552622199,0,0.906515305,0,0,0.401219067
