Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,6,84,140,65,772,492,742
"Korea, Republic of",0,0,0,0,0,713,294,310
Kenya,0,0,0,0,0,0,0,100
Uganda,0,0,8,12,0,0,0,76
Canada,0,2,1,13,10,34,84,58
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,48
France,0,0,26,29,31,6,23,48
United States of America,0,0,0,4,2,3,16,32
Gabon,0,0,0,0,0,0,1,24
"Hong Kong, China",0,0,16,32,5,11,15,11
"Taipei, Chinese",0,0,2,0,0,0,2,9
Thailand,0,0,11,14,1,2,2,7
Japan,0,0,3,3,0,0,8,4
Nigeria,0,0,8,3,0,0,0,4
Germany,0,0,5,7,1,0,1,3
Malaysia,0,0,0,16,0,0,0,3
Netherlands,0,0,0,0,0,0,0,2
United Kingdom,0,0,0,1,0,0,1,2
Singapore,0,0,0,3,3,1,0,1
Switzerland,0,0,0,0,0,0,0,1
Angola,0,4,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,1,0
China,0,0,0,2,0,1,0,0
Italy,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",0,0,0,0,0,0,0,0
Bangladesh,0,0,1,0,0,0,0,0
Congo,0,0,0,0,4,0,40,0
Indonesia,0,0,0,0,0,0,0,0
Poland,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,2,0,0,0,0,0
India,0,0,0,0,0,0,0,0
Viet Nam,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,7,0,0,0
Eswatini,0,0,0,1,0,0,0,0
HHI,0,0.130590976,0.164863554,0.144406227,0.288001742,0.883641836,0.488461777,0.312559677
