Exporters,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,550,1081,1585,954,1475,725,392,151
China,431,688,1192,605,697,398,82,57
Kenya,0,0,0,0,7,120,41,32
Belgium,27,56,96,60,47,16,4,11
Lebanon,0,6,0,2,2,0,2,10
Germany,5,0,0,5,23,0,0,9
Portugal,0,0,0,5,4,0,9,9
South Africa,3,19,36,46,15,2,9,6
India,0,10,34,12,47,15,14,5
United Arab Emirates,39,175,171,156,398,128,136,5
"Tanzania, United Republic of",0,28,17,0,9,0,70,3
France,0,3,9,10,51,5,1,2
Spain,2,0,0,2,0,0,0,1
Angola,0,6,1,0,0,0,11,0
Australia,0,0,0,1,0,0,0,0
Canada,0,0,3,2,44,10,0,0
Finland,0,0,1,1,8,0,0,0
Ireland,2,0,0,1,0,0,0,0
Italy,0,0,2,0,0,0,0,0
Japan,3,9,0,0,36,2,0,0
"Korea, Republic of",0,9,2,0,4,0,0,0
Kuwait,1,0,0,0,0,0,0,0
Malaysia,0,0,1,0,0,0,0,0
Morocco,0,0,1,0,0,0,0,0
Namibia,0,0,0,0,0,4,0,0
Netherlands,0,0,0,0,5,3,4,0
Nigeria,0,0,0,11,7,2,0,0
Pakistan,0,0,0,0,0,0,6,0
Poland,0,0,0,0,0,1,0,0
Singapore,0,0,0,0,6,0,0,0
Sweden,0,10,13,10,5,0,0,0
Switzerland,1,3,0,2,6,0,0,0
Togo,0,0,0,2,0,0,0,0
Türkiye,0,5,0,1,15,0,0,0
Uganda,0,0,0,0,0,5,0,0
Egypt,0,7,0,0,0,8,0,0
United Kingdom,32,48,2,3,5,0,2,0
United States of America,2,0,1,4,29,2,0,0
Zambia,0,0,1,12,6,3,0,0
HHI,0.705663446,0.548441066,0.689842984,0.568227468,0.433859977,0.473404948,0.261508789,0.236233129
