Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,0,0,27,5,7,12,110,6,5461,109,0,0,0,0,0,0,0,0,0,0
China,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,5457,0,0,0,0,0,0,0,0,0,0,0
Guinea,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, Republic of",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,12,0,0,0,58,0,0,0,0,0,0,0,0,0,0
Spain,0,0,3,5,7,0,109,5,0,0,0,0,0,0,0,0,0,0,0,0
HHI,0,0,0.440525087,1,1,1,0.969104069,0.487310034,0.998267164,0.296341614,0,0,0,0,0,0,0,0,0,0
