Exporters,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
World,18137,4063,30952,66681,77013,46294,40147,19726,25503,16606,16509,19567
"Korea, Republic of",0,126,154,526,360,1681,12160,8082,5908,8149,12294,10175
United Arab Emirates,2114,520,2680,6305,35068,20786,5621,3399,2560,489,142,4541
Thailand,1462,290,4782,14554,107,46,9384,2060,6898,3877,1779,3558
Austria,64,0,165,1049,0,115,126,17,337,2379,873,471
"Iran, Islamic Republic of",1237,527,851,0,8416,0,3863,1660,1673,536,252,182
Netherlands,0,19,265,254,36,139,248,98,405,218,198,155
France,0,2,2,0,0,0,0,0,8,0,50,75
Germany,105,43,166,528,320,813,807,147,1677,32,51,74
Finland,0,0,32,150,0,0,13,0,0,0,51,70
Ireland,0,18,72,312,1736,996,66,413,175,295,130,43
United States of America,0,7,77,841,1652,2655,555,92,97,61,64,43
Poland,0,7,21,121,0,522,0,338,0,0,0,41
Viet Nam,94,42,516,554,63,0,5,33,0,175,118,22
Curaçao,0,0,0,0,0,0,0,0,0,58,47,18
Russian Federation,0,0,0,0,0,0,0,0,0,0,53,15
Philippines,0,0,0,0,1,0,0,0,0,0,3,14
China,46,51,806,1672,312,113,184,97,1355,3,0,12
Jordan,0,0,0,0,0,0,0,0,0,0,22,12
Saudi Arabia,811,106,5906,7559,492,0,0,0,394,88,165,12
India,181,33,50,192,24,478,227,1,67,19,0,12
Pakistan,11025,1949,12134,27382,23908,13088,3310,2109,1255,27,9,8
Uzbekistan,13,0,563,172,1128,1057,1095,449,302,24,8,6
Kazakhstan,0,0,0,0,220,0,199,0,22,0,0,3
Türkiye,365,212,380,1834,2559,2092,1299,123,622,21,22,2
United Kingdom,68,0,194,98,4,48,0,0,6,26,0,1
"Korea, Democratic People's Republic of",238,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,0,0,25,0,0,16,25,815,0,0,0
Australia,0,70,475,608,56,0,503,212,462,53,0,0
Bangladesh,0,0,0,0,0,0,36,177,18,0,0,0
Belgium,0,0,0,0,1,61,0,0,0,0,0,0
Brazil,0,0,0,0,0,1245,0,0,41,0,0,0
Canada,0,0,168,1034,31,55,0,0,0,0,0,0
Sri Lanka,0,0,0,0,23,22,0,0,0,0,0,0
Cyprus,19,0,0,0,0,0,0,0,0,0,0,0
Denmark,0,0,0,26,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,2,0,0,0
Georgia,0,0,0,0,0,0,0,0,19,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,113,0
"Hong Kong, China",34,0,25,0,0,0,0,0,0,0,0,0
Indonesia,71,2,74,0,24,0,62,107,118,0,0,0
Italy,0,0,0,31,0,45,132,0,59,0,10,0
Japan,2,0,30,316,0,0,17,28,0,15,28,0
Kenya,0,0,0,0,0,0,62,0,0,0,0,0
Lebanon,0,0,0,123,0,0,0,0,0,0,0,0
Malaysia,107,22,69,353,313,237,140,36,50,30,0,0
"Taipei, Chinese",0,0,294,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,24,0,0,0
Singapore,80,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,98,0,0,0
Spain,0,0,0,0,0,0,0,0,18,29,29,0
Switzerland,0,0,0,0,0,0,0,0,1,0,0,0
Syrian Arab Republic,0,0,0,0,31,0,0,0,0,0,0,0
Tajikistan,0,15,0,1,8,0,10,0,0,4,0,0
Ukraine,0,0,0,0,15,0,0,0,16,0,0,0
Egypt,0,0,0,61,106,0,9,22,0,0,0,0
HHI,0.523630935,0.385708656,0.348066146,0.371642204,0.462380756,0.410274909,0.293923145,0.340668707,0.261406357,0.449519221,0.691931317,0.498040341
