Importers,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
World,60,115,183,157,67,165,31,57
"Congo, Democratic Republic of the",0,0,0,0,0,0,0,20
Rwanda,0,0,0,0,2,0,1,20
France,0,38,0,9,6,0,0,5
Brazil,0,0,3,0,0,0,0,4
Angola,6,29,120,12,2,4,1,3
Ireland,0,0,0,0,0,0,0,3
Belgium,13,11,19,13,39,0,0,1
Gabon,0,0,6,0,0,97,8,1
Bangladesh,0,0,0,0,0,0,11,0
Cameroon,0,1,0,3,2,0,0,0
Canada,3,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,1,0,0,0
China,0,0,0,0,0,3,0,0
Congo,2,0,0,1,0,0,0,0
Benin,0,0,0,0,0,0,2,0
Ethiopia,0,0,0,0,0,0,0,0
Germany,8,0,0,0,0,0,0,0
Ghana,3,9,0,0,0,55,0,0
"Hong Kong, China",0,0,0,0,0,0,0,0
Israel,0,2,0,0,0,0,0,0
Côte d'Ivoire,0,0,6,0,0,0,0,0
Kenya,0,1,0,27,6,0,0,0
Kuwait,0,8,0,0,0,0,0,0
Lebanon,1,0,0,0,0,0,0,0
Lesotho,0,1,0,0,0,0,0,0
Morocco,1,0,0,0,0,0,0,0
Netherlands,3,0,0,0,0,0,0,0
Nigeria,0,1,0,2,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,1,0,0
Senegal,0,0,0,0,0,0,0,0
India,0,0,8,0,0,0,0,0
South Africa,2,9,2,33,7,0,4,0
Zimbabwe,0,0,0,43,0,0,0,0
Sudan,0,0,0,1,0,0,0,0
Switzerland,0,0,0,0,0,0,2,0
Togo,3,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0
Türkiye,5,0,0,12,0,0,0,0
Uganda,0,5,0,1,0,0,0,0
United Kingdom,0,0,1,0,0,0,0,0
"Tanzania, United Republic of",3,0,0,0,0,0,0,0
United States of America,5,0,0,0,0,0,0,0
Burkina Faso,0,0,5,0,0,0,0,0
Zambia,1,0,10,0,2,3,3,0
HHI,0.08701756,0.225250196,0.517474005,0.175927458,0.411884113,0.453749978,0.193227138,0.249413638
