Exporters,Imported value in 2003,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
World,4,0,3,0,2,2,9,0,16,36,0,29,55,7,15,22,165,37
France,1,0,0,0,2,2,9,0,0,0,0,28,45,4,14,10,1,28
United States of America,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0
Cameroon,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0
China,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Germany,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
Switzerland,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,4,0
United Kingdom,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HHI,0.284959256,0,0.130590976,0,1,1,1,0,1,0.644260854,0,0.884370176,0.653246243,0.024510411,0.7805045,0.052611805,0.655411933,0.497226289
