Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018
World,651,653,697,1016,1388,2296,2293,2782,1679,3684,6223,6316,6770,5465,5080,5279,5832,6805
China,26,31,13,31,136,197,146,260,216,593,985,1602,1568,1791,1400,1390,1996,3029
Malaysia,65,40,77,184,307,421,335,338,313,420,862,699,990,1124,1258,1411,1515,1598
Viet Nam,0,0,0,0,0,0,0,0,0,0,8,1,35,5,71,124,287,473
Australia,196,162,221,268,296,418,493,500,330,1156,1389,1566,2249,1105,467,592,653,435
Singapore,201,109,102,147,165,306,434,443,184,439,547,301,306,108,372,381,282,270
Papua New Guinea,40,161,223,127,179,701,604,803,294,676,1426,1613,917,541,542,347,324,193
United States Minor Outlying Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
"Hong Kong, China",1,2,13,4,25,33,52,52,6,28,63,34,34,67,126,292,319,167
"Korea, Republic of",5,33,0,147,93,2,84,164,107,61,54,33,0,5,39,184,92,131
Japan,14,10,1,47,79,25,41,112,36,51,346,107,92,118,178,99,82,103
United States of America,18,11,0,0,1,10,19,23,22,25,36,54,80,37,77,44,33,73
New Zealand,38,25,10,42,52,36,32,27,18,58,85,124,181,192,97,68,61,53
Indonesia,0,13,0,0,16,4,5,1,4,15,13,2,0,101,162,31,71,42
"Taipei, Chinese",24,38,14,2,19,2,3,10,26,75,86,57,135,135,182,166,49,18
United Kingdom,1,2,0,1,3,13,0,0,3,17,1,6,21,1,0,1,5,15
Thailand,0,1,1,0,2,83,29,15,1,2,90,39,17,18,5,11,2,10
Italy,0,0,0,0,6,2,0,0,6,2,1,3,4,2,57,2,2,8
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6
Fiji,1,12,3,4,3,25,4,9,15,4,26,40,23,23,9,8,13,3
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3
Germany,0,3,8,3,0,1,0,0,0,2,3,6,2,40,2,2,1,2
Sri Lanka,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
France,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,0,0,4,38,0,13,0,26,28,0,0
Brazil,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Canada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1,0
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Luxembourg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,0
Netherlands,0,0,0,0,7,16,0,0,0,0,0,0,1,0,0,0,12,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Philippines,16,0,12,8,0,0,0,1,0,0,10,29,19,6,3,6,3,0
Poland,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
India,3,0,0,0,0,0,10,22,0,0,124,0,3,18,2,0,5,0
Slovakia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,0,0,0,0,0,0,0,0,1,17,3,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,49,54,29,0,61,0,0,0,0,0
Türkiye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HHI,0.274765028,0.20811338,0.291681781,0.189209285,0.181820413,0.257717897,0.223010614,0.216722548,0.198289451,0.273612339,0.239825512,0.297340389,0.311928864,0.302718805,0.244565282,0.268253689,0.327552679,0.392302681
